hgnc_symbol	ensembl_gene_id	chromosome_name	origsymbol
ABHD17A	ABHD17A	ENSG00000129968	19	ABHD17A
ABHD17B	ABHD17B	ENSG00000107362	9	ABHD17B
ABHD2	ABHD2	ENSG00000140526	15	ABHD2
ABHD3	ABHD3	ENSG00000158201	18	ABHD3
ABHD4	ABHD4	ENSG00000100439	14	ABHD4
ABHD5	ABHD5	ENSG00000011198	3	ABHD5
ABHD6	ABHD6	ENSG00000163686	3	ABHD6
ABHD8	ABHD8	ENSG00000127220	19	ABHD8
ABI1	ABI1	ENSG00000136754	10	ABI1
ABI2	ABI2	ENSG00000138443	2	ABI2
ABL1	ABL1	ENSG00000097007	9	ABL1
ABL2	ABL2	ENSG00000143322	1	ABL2
ABR	ABR	ENSG00000278741	CHR_HSCHR17_3_CTG2	ABR
ABRACL	ABRACL	ENSG00000146386	6	ABRACL
ABT1	ABT1	ENSG00000146109	6	ABT1
ABTB1	ABTB1	ENSG00000114626	3	ABTB1
AC000068.10	NA	NA	NA	AC000068.10
AC000068.5	NA	NA	NA	AC000068.5
AC000068.9	NA	NA	NA	AC000068.9
AC002066.1	NA	NA	NA	AC002066.1
AC002116.7	NA	NA	NA	AC002116.7
AC002117.1	NA	NA	NA	AC002117.1
AC002310.12	NA	NA	NA	AC002310.12
AC002310.7	NA	NA	NA	AC002310.7
AC002454.1	NA	NA	NA	AC002454.1
AC002467.7	NA	NA	NA	AC002467.7
AC002480.2	NA	NA	NA	AC002480.2
AC002480.3	NA	NA	NA	AC002480.3
AC002480.4	NA	NA	NA	AC002480.4
AC002539.1	NA	NA	NA	AC002539.1
AC003665.1	NA	NA	NA	AC003665.1
AC004009.3	NA	NA	NA	AC004009.3
AC004069.2	NA	NA	NA	AC004069.2
AC004158.2	NA	NA	NA	AC004158.2
AC004221.2	NA	NA	NA	AC004221.2
AC004257.3	NA	NA	NA	AC004257.3
AC004381.6	NA	NA	NA	AC004381.6
AC004447.2	NA	NA	NA	AC004447.2
AC004463.6	NA	NA	NA	AC004463.6
AC004466.1	NA	NA	NA	AC004466.1
AC004510.3	NA	NA	NA	AC004510.3
AC004540.5	NA	NA	NA	AC004540.5
AC004837.5	NA	NA	NA	AC004837.5
AC004854.4	NA	NA	NA	AC004854.4
AC004893.11	NA	NA	NA	AC004893.11
AC004951.6	NA	NA	NA	AC004951.6
AC005003.1	NA	NA	NA	AC005003.1
AC005019.3	NA	NA	NA	AC005019.3
AC005037.3	NA	NA	NA	AC005037.3
AC005076.5	NA	NA	NA	AC005076.5
AC005224.2	NA	NA	NA	AC005224.2
AC005253.2	NA	NA	NA	AC005253.2
AC005256.1	NA	NA	NA	AC005256.1
AC005306.3	NA	NA	NA	AC005306.3
AC005307.1	NA	NA	NA	AC005307.1
AC005307.3	NA	NA	NA	AC005307.3
AC005329.7	NA	NA	NA	AC005329.7
AC005339.2	NA	NA	NA	AC005339.2
AC005523.2	NA	NA	NA	AC005523.2
AC005523.3	NA	NA	NA	AC005523.3
AC005534.8	NA	NA	NA	AC005534.8
AC005540.3	NA	NA	NA	AC005540.3
AC005592.2	NA	NA	NA	AC005592.2
AC005614.3	NA	NA	NA	AC005614.3
AC005616.1	NA	NA	NA	AC005616.1
AC005618.6	NA	NA	NA	AC005618.6
AC005682.8	NA	NA	NA	AC005682.8
AC005775.2	NA	NA	NA	AC005775.2
AC005786.5	NA	NA	NA	AC005786.5
AC005789.11	NA	NA	NA	AC005789.11
AC005943.5	NA	NA	NA	AC005943.5
AC006116.17	NA	NA	NA	AC006116.17
AC006116.20	NA	NA	NA	AC006116.20
AC006262.5	NA	NA	NA	AC006262.5
AC006277.2	NA	NA	NA	AC006277.2
AC006369.2	NA	NA	NA	AC006369.2
AC006486.1	NA	NA	NA	AC006486.1
AC006547.15	NA	NA	NA	AC006547.15
AC006547.8	NA	NA	NA	AC006547.8
AC006946.16	NA	NA	NA	AC006946.16
AC007038.7	NA	NA	NA	AC007038.7
AC007040.11	NA	NA	NA	AC007040.11
AC007040.6	NA	NA	NA	AC007040.6
AC007040.7	NA	NA	NA	AC007040.7
AC007128.1	NA	NA	NA	AC007128.1
AC007204.2	NA	NA	NA	AC007204.2
AC007228.9	NA	NA	NA	AC007228.9
AC007246.3	NA	NA	NA	AC007246.3
AC007292.3	NA	NA	NA	AC007292.3
AC007292.6	NA	NA	NA	AC007292.6
AC007308.6	NA	NA	NA	AC007308.6
AC007365.3	NA	NA	NA	AC007365.3
AC007382.1	NA	NA	NA	AC007382.1
AC007383.3	NA	NA	NA	AC007383.3
AC007383.4	NA	NA	NA	AC007383.4
AC007405.4	NA	NA	NA	AC007405.4
AC007405.6	NA	NA	NA	AC007405.6
AC007551.3	NA	NA	NA	AC007551.3
AC007620.3	NA	NA	NA	AC007620.3
AC007773.2	NA	NA	NA	AC007773.2
AC008174.3	NA	NA	NA	AC008174.3
AC008271.1	NA	NA	NA	AC008271.1
AC008443.1	NA	NA	NA	AC008443.1
AC008746.12	NA	NA	NA	AC008746.12
AC008781.7	NA	NA	NA	AC008781.7
AC009005.2	NA	NA	NA	AC009005.2
AC009065.1	NA	NA	NA	AC009065.1
AC009120.6	NA	NA	NA	AC009120.6
AC009133.14	NA	NA	NA	AC009133.14
AC009403.2	NA	NA	NA	AC009403.2
AC009404.2	NA	NA	NA	AC009404.2
AC009501.4	NA	NA	NA	AC009501.4
AC009506.1	NA	NA	NA	AC009506.1
AC009784.3	NA	NA	NA	AC009784.3
AC009892.10	NA	NA	NA	AC009892.10
AC009948.5	NA	NA	NA	AC009948.5
AC009961.3	NA	NA	NA	AC009961.3
AC010226.4	NA	NA	NA	AC010226.4
AC010336.1	NA	NA	NA	AC010336.1
AC010525.7	NA	NA	NA	AC010525.7
AC010536.1	NA	NA	NA	AC010536.1
AC010642.1	NA	NA	NA	AC010642.1
AC010761.8	NA	NA	NA	AC010761.8
AC010883.5	NA	NA	NA	AC010883.5
AC010894.3	NA	NA	NA	AC010894.3
AC011043.1	NA	NA	NA	AC011043.1
AC011551.3	NA	NA	NA	AC011551.3
AC011558.5	NA	NA	NA	AC011558.5
AC011891.5	NA	NA	NA	AC011891.5
AC012358.8	NA	NA	NA	AC012358.8
AC012360.4	NA	NA	NA	AC012360.4
AC012442.6	NA	NA	NA	AC012442.6
AC012487.2	NA	NA	NA	AC012487.2
AC013449.1	NA	NA	NA	AC013449.1
AC015849.19	NA	NA	NA	AC015849.19
AC015849.2	NA	NA	NA	AC015849.2
AC015987.2	NA	NA	NA	AC015987.2
AC016586.1	NA	NA	NA	AC016586.1
AC016626.2	NA	NA	NA	AC016626.2
AC016629.3	NA	NA	NA	AC016629.3
AC016629.8	NA	NA	NA	AC016629.8
AC016700.5	NA	NA	NA	AC016700.5
AC016710.1	NA	NA	NA	AC016710.1
AC016723.4	NA	NA	NA	AC016723.4
AC016757.3	NA	NA	NA	AC016757.3
AC016831.7	NA	NA	NA	AC016831.7
AC016885.1	NA	NA	NA	AC016885.1
AC016912.3	NA	NA	NA	AC016912.3
AC016995.3	NA	NA	NA	AC016995.3
AC018464.3	NA	NA	NA	AC018464.3
AC018755.1	NA	NA	NA	AC018755.1
AC018816.3	NA	NA	NA	AC018816.3
AC018890.6	NA	NA	NA	AC018890.6
AC020571.3	NA	NA	NA	AC020571.3
AC021188.4	NA	NA	NA	AC021188.4
AC022007.5	NA	NA	NA	AC022007.5
AC022201.5	NA	NA	NA	AC022201.5
AC022400.2	NA	NA	NA	AC022400.2
AC023347.1	NA	NA	NA	AC023347.1
AC023490.1	NA	NA	NA	AC023490.1
AC024592.12	NA	NA	NA	AC024592.12
AC025171.1	NA	NA	NA	AC025171.1
AC025335.1	NA	NA	NA	AC025335.1
AC026202.3	NA	NA	NA	AC026202.3
AC026740.1	NA	NA	NA	AC026740.1
AC027307.3	NA	NA	NA	AC027307.3
AC027763.2	NA	NA	NA	AC027763.2
AC040977.1	NA	NA	NA	AC040977.1
AC046143.3	NA	NA	NA	AC046143.3
AC053503.4	NA	NA	NA	AC053503.4
AC062017.1	NA	NA	NA	AC062017.1
AC062029.1	NA	NA	NA	AC062029.1
AC063976.3	NA	NA	NA	AC063976.3
AC064834.1	NA	NA	NA	AC064834.1
AC068039.4	NA	NA	NA	AC068039.4
AC068499.10	NA	NA	NA	AC068499.10
AC068831.10	NA	NA	NA	AC068831.10
AC069277.2	NA	NA	NA	AC069277.2
AC069278.4	NA	NA	NA	AC069278.4
AC069513.4	NA	NA	NA	AC069513.4
AC072062.1	NA	NA	NA	AC072062.1
AC073072.5	NA	NA	NA	AC073072.5
AC073236.3	NA	NA	NA	AC073236.3
AC074117.10	NA	NA	NA	AC074117.10
AC074138.3	NA	NA	NA	AC074138.3
AC074183.4	NA	NA	NA	AC074183.4
AC074212.3	NA	NA	NA	AC074212.3
AC074212.5	NA	NA	NA	AC074212.5
AC074212.6	NA	NA	NA	AC074212.6
AC074389.9	NA	NA	NA	AC074389.9
AC074391.1	NA	NA	NA	AC074391.1
AC079305.10	NA	NA	NA	AC079305.10
AC079354.5	NA	NA	NA	AC079354.5
AC079466.1	NA	NA	NA	AC079466.1
AC079807.2	NA	NA	NA	AC079807.2
AC079922.3	NA	NA	NA	AC079922.3
AC083843.1	NA	NA	NA	AC083843.1
AC084018.1	NA	NA	NA	AC084018.1
AC084219.4	NA	NA	NA	AC084219.4
AC084809.2	NA	NA	NA	AC084809.2
AC084809.3	NA	NA	NA	AC084809.3
AC087294.2	NA	NA	NA	AC087294.2
AC087645.1	NA	NA	NA	AC087645.1
AC090186.1	NA	NA	NA	AC090186.1
AC090587.5	NA	NA	NA	AC090587.5
AC090616.2	NA	NA	NA	AC090616.2
AC091729.9	NA	NA	NA	AC091729.9
AC092295.7	NA	NA	NA	AC092295.7
AC093157.1	NA	NA	NA	AC093157.1
AC093159.1	NA	NA	NA	AC093159.1
AC093323.3	NA	NA	NA	AC093323.3
AC093375.1	NA	NA	NA	AC093375.1
AC093388.3	NA	NA	NA	AC093388.3
AC093391.2	NA	NA	NA	AC093391.2
AC093495.4	NA	NA	NA	AC093495.4
AC093627.9	NA	NA	NA	AC093627.9
AC093642.3	NA	NA	NA	AC093642.3
AC093673.5	NA	NA	NA	AC093673.5
AC093818.1	NA	NA	NA	AC093818.1
AC096559.1	NA	NA	NA	AC096559.1
AC096649.2	NA	NA	NA	AC096649.2
AC096772.6	NA	NA	NA	AC096772.6
AC097721.2	NA	NA	NA	AC097721.2
AC097724.3	NA	NA	NA	AC097724.3
AC098617.1	NA	NA	NA	AC098617.1
AC098820.4	NA	NA	NA	AC098820.4
AC098973.2	NA	NA	NA	AC098973.2
AC099552.4	NA	NA	NA	AC099552.4
AC099850.1	NA	NA	NA	AC099850.1
AC100830.4	NA	NA	NA	AC100830.4
AC104076.3	NA	NA	NA	AC104076.3
AC104532.4	NA	NA	NA	AC104532.4
AC104801.1	NA	NA	NA	AC104801.1
AC105760.2	NA	NA	NA	AC105760.2
AC107081.5	NA	NA	NA	AC107081.5
AC108488.4	NA	NA	NA	AC108488.4
AC112721.1	NA	NA	NA	AC112721.1
AC113189.5	NA	NA	NA	AC113189.5
AC115618.1	NA	NA	NA	AC115618.1
AC116366.5	NA	NA	NA	AC116366.5
AC119673.1	NA	NA	NA	AC119673.1
AC120194.1	NA	NA	NA	AC120194.1
AC127496.1	NA	NA	NA	AC127496.1
AC131097.3	NA	NA	NA	AC131097.3
AC132192.1	NA	NA	NA	AC132192.1
AC132872.2	NA	NA	NA	AC132872.2
AC133528.2	NA	NA	NA	AC133528.2
AC137932.1	NA	NA	NA	AC137932.1
AC137932.6	NA	NA	NA	AC137932.6
AC137934.1	NA	NA	NA	AC137934.1
AC139100.2	NA	NA	NA	AC139100.2
AC142528.1	NA	NA	NA	AC142528.1
AC144652.1	NA	NA	NA	AC144652.1
AC145212.1	NA	NA	NA	AC145212.1
AC147651.3	NA	NA	NA	AC147651.3
AC147651.4	NA	NA	NA	AC147651.4
ACAA1	ACAA1	ENSG00000060971	3	ACAA1
ACAA2	ACAA2	ENSG00000167315	18	ACAA2
ACACA	ACACA	ENSG00000278540	CHR_HSCHR17_7_CTG4	ACACA
ACAD10	ACAD10	ENSG00000111271	12	ACAD10
ACAD8	ACAD8	ENSG00000151498	11	ACAD8
ACAD9	ACAD9	ENSG00000177646	3	ACAD9
ACADM	ACADM	ENSG00000117054	1	ACADM
ACADS	ACADS	ENSG00000122971	12	ACADS
ACADSB	ACADSB	ENSG00000196177	10	ACADSB
ACADVL	ACADVL	ENSG00000072778	17	ACADVL
ACAP1	ACAP1	ENSG00000072818	17	ACAP1
ACAP2	ACAP2	ENSG00000114331	3	ACAP2
ACAP3	ACAP3	ENSG00000131584	1	ACAP3
ACAT1	ACAT1	ENSG00000075239	11	ACAT1
ACAT2	ACAT2	ENSG00000120437	6	ACAT2
ACBD3	ACBD3	ENSG00000182827	1	ACBD3
ACBD4	ACBD4	ENSG00000181513	17	ACBD4
ACBD5	ACBD5	ENSG00000107897	10	ACBD5
ACBD6	ACBD6	ENSG00000230124	1	ACBD6
ACCS	ACCS	ENSG00000110455	11	ACCS
ACD	ACD	ENSG00000102977	16	ACD
ACE	ACE	ENSG00000159640	17	ACE
ACER3	ACER3	ENSG00000078124	11	ACER3
ACHE	ACHE	ENSG00000087085	7	ACHE
ACIN1	ACIN1	ENSG00000100813	14	ACIN1
ACKR2	ACKR2	ENSG00000144648	3	ACKR2
ACLY	ACLY	ENSG00000131473	17	ACLY
ACN9	NA	NA	NA	ACN9
ACO1	ACO1	ENSG00000122729	9	ACO1
ACO2	ACO2	ENSG00000100412	22	ACO2
ACOT13	ACOT13	ENSG00000112304	6	ACOT13
ACOT7	ACOT7	ENSG00000097021	1	ACOT7
ACOT8	ACOT8	ENSG00000101473	20	ACOT8
ACOT9	ACOT9	ENSG00000123130	X	ACOT9
ACOX1	ACOX1	ENSG00000161533	17	ACOX1
ACOX3	ACOX3	ENSG00000087008	4	ACOX3
ACP1	ACP1	ENSG00000143727	2	ACP1
ACP2	ACP2	ENSG00000134575	11	ACP2
ACP5	ACP5	ENSG00000102575	19	ACP5
ACP6	ACP6	ENSG00000162836	1	ACP6
ACPL2	NA	NA	NA	ACPL2
ACPP	ACPP	ENSG00000014257	3	ACPP
ACRBP	ACRBP	ENSG00000111644	12	ACRBP
ACRC	NA	NA	NA	ACRC
ACSBG1	ACSBG1	ENSG00000103740	15	ACSBG1
ACSF2	ACSF2	ENSG00000167107	17	ACSF2
ACSF3	ACSF3	ENSG00000176715	16	ACSF3
ACSL1	ACSL1	ENSG00000151726	4	ACSL1
ACSL3	ACSL3	ENSG00000123983	2	ACSL3
ACSL4	ACSL4	ENSG00000068366	X	ACSL4
ACSL5	ACSL5	ENSG00000197142	10	ACSL5
ACSL6	ACSL6	ENSG00000164398	5	ACSL6
ACSM1	ACSM1	ENSG00000166743	16	ACSM1
ACSM2B	ACSM2B	ENSG00000066813	16	ACSM2B
ACSM3	ACSM3	ENSG00000005187	16	ACSM3
ACSS1	ACSS1	ENSG00000154930	20	ACSS1
ACSS2	ACSS2	ENSG00000131069	20	ACSS2
ACTB	ACTB	ENSG00000075624	7	ACTB
ACTC1	ACTC1	ENSG00000159251	15	ACTC1
ACTG1	ACTG1	ENSG00000184009	17	ACTG1
ACTL6A	ACTL6A	ENSG00000136518	3	ACTL6A
ACTL8	ACTL8	ENSG00000117148	1	ACTL8
ACTN1	ACTN1	ENSG00000072110	14	ACTN1
ACTN2	ACTN2	ENSG00000077522	1	ACTN2
ACTN4	ACTN4	ENSG00000282844	CHR_HG26_PATCH	ACTN4
ACTR10	ACTR10	ENSG00000131966	14	ACTR10
ACTR1A	ACTR1A	ENSG00000138107	10	ACTR1A
ACTR1B	ACTR1B	ENSG00000115073	2	ACTR1B
ACTR2	ACTR2	ENSG00000138071	2	ACTR2
ACTR3	ACTR3	ENSG00000115091	2	ACTR3
ACTR3B	ACTR3B	ENSG00000133627	7	ACTR3B
ACTR3C	ACTR3C	ENSG00000106526	7	ACTR3C
ACTR5	ACTR5	ENSG00000101442	20	ACTR5
ACTR6	ACTR6	ENSG00000075089	12	ACTR6
ACTR8	ACTR8	ENSG00000113812	3	ACTR8
ACVR1	ACVR1	ENSG00000115170	2	ACVR1
ACVR1B	ACVR1B	ENSG00000135503	12	ACVR1B
ACVR1C	ACVR1C	ENSG00000123612	2	ACVR1C
ACVR2A	ACVR2A	ENSG00000121989	2	ACVR2A
ACVR2B	ACVR2B	ENSG00000114739	3	ACVR2B
ACVRL1	ACVRL1	ENSG00000139567	12	ACVRL1
ACY1	ACY1	ENSG00000243989	3	ACY1
ACYP1	ACYP1	ENSG00000119640	14	ACYP1
ACYP2	ACYP2	ENSG00000170634	2	ACYP2
AD000090.2	NA	NA	NA	AD000090.2
ADA	ADA	ENSG00000196839	20	ADA
ADAL	ADAL	ENSG00000168803	15	ADAL
ADAM10	ADAM10	ENSG00000137845	15	ADAM10
ADAM15	ADAM15	ENSG00000143537	1	ADAM15
ADAM17	ADAM17	ENSG00000151694	2	ADAM17
ADAM32	ADAM32	ENSG00000275594	CHR_HSCHR8_9_CTG1	ADAM32
ADAM8	ADAM8	ENSG00000151651	10	ADAM8
ADAM9	ADAM9	ENSG00000282230	CHR_HSCHR8_9_CTG1	ADAM9
ADAMTS10	ADAMTS10	ENSG00000142303	19	ADAMTS10
ADAMTS14	ADAMTS14	ENSG00000138316	10	ADAMTS14
ADAMTS3	ADAMTS3	ENSG00000156140	4	ADAMTS3
ADAMTS4	ADAMTS4	ENSG00000158859	1	ADAMTS4
ADAMTS6	ADAMTS6	ENSG00000049192	5	ADAMTS6
ADAMTSL4	ADAMTSL4	ENSG00000143382	1	ADAMTSL4
ADAMTSL5	ADAMTSL5	ENSG00000185761	19	ADAMTSL5
ADAP1	ADAP1	ENSG00000105963	7	ADAP1
ADAR	ADAR	ENSG00000160710	1	ADAR
ADARB1	ADARB1	ENSG00000197381	21	ADARB1
ADAT1	ADAT1	ENSG00000065457	16	ADAT1
ADAT2	ADAT2	ENSG00000189007	6	ADAT2
ADAT3	ADAT3	ENSG00000213638	19	ADAT3
ADCK1	ADCK1	ENSG00000063761	14	ADCK1
ADCK2	ADCK2	ENSG00000133597	7	ADCK2
ADCK3	NA	NA	NA	ADCK3
ADCK4	NA	NA	NA	ADCK4
ADCK5	ADCK5	ENSG00000285451	CHR_HG2419_PATCH	ADCK5
ADCY10	ADCY10	ENSG00000143199	1	ADCY10
ADCY3	ADCY3	ENSG00000138031	2	ADCY3
ADCY7	ADCY7	ENSG00000121281	16	ADCY7
ADD1	ADD1	ENSG00000087274	4	ADD1
ADD2	ADD2	ENSG00000075340	2	ADD2
ADD3	ADD3	ENSG00000148700	10	ADD3
ADH5	ADH5	ENSG00000197894	4	ADH5
ADI1	ADI1	ENSG00000280830	CHR_HSCHR2_1_CTG1	ADI1
ADIPOR1	ADIPOR1	ENSG00000159346	1	ADIPOR1
ADIPOR2	ADIPOR2	ENSG00000285070	CHR_HG1815_PATCH	ADIPOR2
ADK	ADK	ENSG00000156110	10	ADK
ADM2	ADM2	ENSG00000128165	22	ADM2
ADM5	ADM5	ENSG00000224420	19	ADM5
ADNP	ADNP	ENSG00000101126	20	ADNP
ADNP2	ADNP2	ENSG00000101544	18	ADNP2
ADO	ADO	ENSG00000181915	10	ADO
ADORA2B	ADORA2B	ENSG00000170425	17	ADORA2B
ADPGK	ADPGK	ENSG00000159322	15	ADPGK
ADPRH	ADPRH	ENSG00000144843	3	ADPRH
ADPRHL1	ADPRHL1	ENSG00000153531	13	ADPRHL1
ADPRHL2	ADPRHL2	ENSG00000116863	1	ADPRHL2
ADPRM	ADPRM	ENSG00000170222	17	ADPRM
ADRA1D	ADRA1D	ENSG00000171873	20	ADRA1D
ADRBK1	NA	NA	NA	ADRBK1
ADRBK2	NA	NA	NA	ADRBK2
ADRM1	ADRM1	ENSG00000130706	20	ADRM1
ADSL	ADSL	ENSG00000239900	22	ADSL
ADSS	ADSS	ENSG00000035687	1	ADSS
ADSSL1	ADSSL1	ENSG00000185100	14	ADSSL1
ADTRP	ADTRP	ENSG00000111863	6	ADTRP
AE000662.93	NA	NA	NA	AE000662.93
AEBP2	AEBP2	ENSG00000139154	12	AEBP2
AEN	AEN	ENSG00000181026	15	AEN
AES	AES	ENSG00000104964	19	AES
AF001548.5	NA	NA	NA	AF001548.5
AF127577.8	NA	NA	NA	AF127577.8
AF127936.3	NA	NA	NA	AF127936.3
AF127936.5	NA	NA	NA	AF127936.5
AF127936.7	NA	NA	NA	AF127936.7
AF129408.17	NA	NA	NA	AF129408.17
AF165138.7	NA	NA	NA	AF165138.7
AF196972.9	NA	NA	NA	AF196972.9
AF213884.2	NA	NA	NA	AF213884.2
AFAP1	AFAP1	ENSG00000196526	4	AFAP1
AFAP1-AS1	AFAP1-AS1	ENSG00000272620	4	AFAP1-AS1
AFF1	AFF1	ENSG00000172493	4	AFF1
AFF4	AFF4	ENSG00000072364	5	AFF4
AFG3L2	AFG3L2	ENSG00000141385	18	AFG3L2
AFM	AFM	ENSG00000079557	4	AFM
AFMID	AFMID	ENSG00000183077	17	AFMID
AFP	AFP	ENSG00000081051	4	AFP
AFTPH	AFTPH	ENSG00000119844	2	AFTPH
AGA	AGA	ENSG00000038002	4	AGA
AGAP1	AGAP1	ENSG00000157985	2	AGAP1
AGAP3	AGAP3	ENSG00000133612	7	AGAP3
AGAP4	AGAP4	ENSG00000188234	10	AGAP4
AGAP5	AGAP5	ENSG00000172650	10	AGAP5
AGAP6	AGAP6	ENSG00000204149	10	AGAP6
AGBL2	AGBL2	ENSG00000285501	CHR_HG2114_PATCH	AGBL2
AGBL3	AGBL3	ENSG00000146856	7	AGBL3
AGBL5	AGBL5	ENSG00000084693	2	AGBL5
AGER	AGER	ENSG00000237405	CHR_HSCHR6_MHC_SSTO_CTG1	AGER
AGFG1	AGFG1	ENSG00000173744	2	AGFG1
AGFG2	AGFG2	ENSG00000106351	7	AGFG2
AGGF1	AGGF1	ENSG00000164252	5	AGGF1
AGK	AGK	ENSG00000262327	CHR_HSCHR7_1_CTG6	AGK
AGL	AGL	ENSG00000162688	1	AGL
AGMAT	AGMAT	ENSG00000116771	1	AGMAT
AGMO	AGMO	ENSG00000187546	7	AGMO
AGO1	AGO1	ENSG00000092847	1	AGO1
AGO2	AGO2	ENSG00000123908	8	AGO2
AGO3	AGO3	ENSG00000126070	1	AGO3
AGO4	AGO4	ENSG00000134698	1	AGO4
AGPAT1	AGPAT1	ENSG00000236873	CHR_HSCHR6_MHC_SSTO_CTG1	AGPAT1
AGPAT2	AGPAT2	ENSG00000169692	9	AGPAT2
AGPAT3	AGPAT3	ENSG00000160216	21	AGPAT3
AGPAT4	AGPAT4	ENSG00000026652	6	AGPAT4
AGPAT5	AGPAT5	ENSG00000284980	CHR_HG76_PATCH	AGPAT5
AGPAT6	NA	NA	NA	AGPAT6
AGPAT9	NA	NA	NA	AGPAT9
AGPS	AGPS	ENSG00000018510	2	AGPS
AGRN	AGRN	ENSG00000188157	1	AGRN
AGTPBP1	AGTPBP1	ENSG00000135049	9	AGTPBP1
AGTRAP	AGTRAP	ENSG00000177674	1	AGTRAP
AHCTF1	AHCTF1	ENSG00000153207	1	AHCTF1
AHCY	AHCY	ENSG00000101444	20	AHCY
AHCYL1	AHCYL1	ENSG00000168710	1	AHCYL1
AHCYL2	AHCYL2	ENSG00000158467	7	AHCYL2
AHDC1	AHDC1	ENSG00000126705	1	AHDC1
AHI1	AHI1	ENSG00000135541	6	AHI1
AHNAK	AHNAK	ENSG00000124942	11	AHNAK
AHRR	AHRR	ENSG00000286169	5	AHRR
AHSA1	AHSA1	ENSG00000100591	14	AHSA1
AHSA2	NA	NA	NA	AHSA2
AHSP	AHSP	ENSG00000169877	16	AHSP
AIDA	AIDA	ENSG00000186063	1	AIDA
AIF1	AIF1	ENSG00000237727	CHR_HSCHR6_MHC_SSTO_CTG1	AIF1
AIF1L	AIF1L	ENSG00000126878	9	AIF1L
AIFM1	AIFM1	ENSG00000156709	X	AIFM1
AIFM2	AIFM2	ENSG00000042286	10	AIFM2
AIG1	AIG1	ENSG00000146416	6	AIG1
AIM1L	NA	NA	NA	AIM1L
AIM2	AIM2	ENSG00000163568	1	AIM2
AIMP1	AIMP1	ENSG00000164022	4	AIMP1
AIMP2	AIMP2	ENSG00000106305	7	AIMP2
AIP	AIP	ENSG00000110711	11	AIP
AJ003147.9	NA	NA	NA	AJ003147.9
AJUBA	AJUBA	ENSG00000129474	14	AJUBA
AK1	AK1	ENSG00000106992	9	AK1
AK2	AK2	ENSG00000004455	1	AK2
AK3	AK3	ENSG00000147853	9	AK3
AK4	AK4	ENSG00000162433	1	AK4
AK7	AK7	ENSG00000140057	14	AK7
AK9	AK9	ENSG00000155085	6	AK9
