mgi_symbol	ensembl_gene_id	chromosome_name	origsymbol
1110036E04Rik	1110036E04Rik	ENSMUSG00000097036	9	1110036E04Rik
1110037F02Rik	NA	NA	NA	1110037F02Rik
1110038B12Rik	1110038B12Rik	ENSMUSG00000092203	17	1110038B12Rik
1110038D17Rik	NA	NA	NA	1110038D17Rik
1110038F14Rik	1110038F14Rik	ENSMUSG00000063236	15	1110038F14Rik
1110046J04Rik	1110046J04Rik	ENSMUSG00000085457	13	1110046J04Rik
1110049F12Rik	NA	NA	NA	1110049F12Rik
1110050K14Rik	NA	NA	NA	1110050K14Rik
1110051M20Rik	1110051M20Rik	ENSMUSG00000040591	2	1110051M20Rik
1110054M08Rik	NA	NA	NA	1110054M08Rik
1110054O05Rik	NA	NA	NA	1110054O05Rik
1110057K04Rik	NA	NA	NA	1110057K04Rik
1110057P08Rik	1110057P08Rik	ENSMUSG00000068067	16	1110057P08Rik
1110058L19Rik	NA	NA	NA	1110058L19Rik
1110059E24Rik	1110059E24Rik	ENSMUSG00000035171	19	1110059E24Rik
1110059G10Rik	1110059G10Rik	ENSMUSG00000032551	9	1110059G10Rik
1110059M19Rik	NA	NA	NA	1110059M19Rik
1110065P20Rik	1110065P20Rik	ENSMUSG00000078570	4	1110065P20Rik
1110067D22Rik	NA	NA	NA	1110067D22Rik
1190002H23Rik	NA	NA	NA	1190002H23Rik
1190002N15Rik	1190002N15Rik	ENSMUSG00000045414	9	1190002N15Rik
1190003J15Rik	NA	NA	NA	1190003J15Rik
1190005F20Rik	NA	NA	NA	1190005F20Rik
1190005I06Rik	1190005I06Rik	ENSMUSG00000043687	8	1190005I06Rik
1190007F08Rik	NA	NA	NA	1190007F08Rik
1190007I07Rik	1190007I07Rik	ENSMUSG00000063320	10	1190007I07Rik
1200007C13Rik	1200007C13Rik	ENSMUSG00000087684	2	1200007C13Rik
1200009I06Rik	NA	NA	NA	1200009I06Rik
1200011I18Rik	NA	NA	NA	1200011I18Rik
1200011M11Rik	NA	NA	NA	1200011M11Rik
1200014J11Rik	NA	NA	NA	1200014J11Rik
1200016B10Rik	NA	NA	NA	1200016B10Rik
1300001I01Rik	NA	NA	NA	1300001I01Rik
1300002E11Rik	1300002E11Rik	ENSMUSG00000097290	16	1300002E11Rik
1300002K09Rik	NA	NA	NA	1300002K09Rik
1300010F03Rik	NA	NA	NA	1300010F03Rik
1300014I06Rik	NA	NA	NA	1300014I06Rik
1300015D01Rik	NA	NA	NA	1300015D01Rik
1300017J02Rik	1300017J02Rik	ENSMUSG00000033688	9	1300017J02Rik
1300018I17Rik	NA	NA	NA	1300018I17Rik
1300018J18Rik	NA	NA	NA	1300018J18Rik
1500001M20Rik	NA	NA	NA	1500001M20Rik
1500002C15Rik	1500002C15Rik	ENSMUSG00000096221	4	1500002C15Rik
1500002F19Rik	1500002F19Rik	ENSMUSG00000097595	7	1500002F19Rik
1500002O10Rik	NA	NA	NA	1500002O10Rik
1500002O20Rik	NA	NA	NA	1500002O20Rik
1500003O03Rik	NA	NA	NA	1500003O03Rik
1500009C09Rik	1500009C09Rik	ENSMUSG00000068099	15	1500009C09Rik
1500009L16Rik	1500009L16Rik	ENSMUSG00000087651	10	1500009L16Rik
1500010J02Rik	NA	NA	NA	1500010J02Rik
1500011H22Rik	NA	NA	NA	1500011H22Rik
1500011K16Rik	NA	NA	NA	1500011K16Rik
1500012F01Rik	NA	NA	NA	1500012F01Rik
1500012K07Rik	1500012K07Rik	ENSMUSG00000097247	7	1500012K07Rik
1500015O10Rik	1500015O10Rik	ENSMUSG00000026051	1	1500015O10Rik
1500016L03Rik	NA	NA	NA	1500016L03Rik
1500017E21Rik	NA	NA	NA	1500017E21Rik
1500026H17Rik	1500026H17Rik	ENSMUSG00000097383	10	1500026H17Rik
1500031L02Rik	NA	NA	NA	1500031L02Rik
1500032L24Rik	NA	NA	NA	1500032L24Rik
1500035N22Rik	1500035N22Rik	ENSMUSG00000059631	5	1500035N22Rik
1520401A03Rik	1520401A03Rik	ENSMUSG00000043747	17	1520401A03Rik
1520402A15Rik	NA	NA	NA	1520402A15Rik
1600002D24Rik	NA	NA	NA	1600002D24Rik
1600002H07Rik	NA	NA	NA	1600002H07Rik
1600002K03Rik	1600002K03Rik	ENSMUSG00000035595	10	1600002K03Rik
1600010F14Rik	NA	NA	NA	1600010F14Rik
1600012F09Rik	NA	NA	NA	1600012F09Rik
1600012H06Rik	1600012H06Rik	ENSMUSG00000050088	17	1600012H06Rik
1600012P17Rik	1600012P17Rik	ENSMUSG00000047661	1	1600012P17Rik
1600014C10Rik	1600014C10Rik	ENSMUSG00000054676	7	1600014C10Rik
1600014K23Rik	NA	NA	NA	1600014K23Rik
1600015I10Rik	1600015I10Rik	ENSMUSG00000029813	6	1600015I10Rik
1600016N20Rik	NA	NA	NA	1600016N20Rik
1600020E01Rik	1600020E01Rik	ENSMUSG00000097048	6	1600020E01Rik
1600021P15Rik	NA	NA	NA	1600021P15Rik
1600025M17Rik	1600025M17Rik	ENSMUSG00000085114	X	1600025M17Rik
1600027N09Rik	NA	NA	NA	1600027N09Rik
1600029D21Rik	NA	NA	NA	1600029D21Rik
1600029I14Rik	NA	NA	NA	1600029I14Rik
1600029O15Rik	1600029O15Rik	ENSMUSG00000057818	9	1600029O15Rik
1700001C02Rik	1700001C02Rik	ENSMUSG00000029182	5	1700001C02Rik
1700001C19Rik	1700001C19Rik	ENSMUSG00000116001	CHR_MG209_PATCH	1700001C19Rik
1700001F09Rik	1700001F09Rik	ENSMUSG00000095384	14	1700001F09Rik
1700001G01Rik	1700001G01Rik	ENSMUSG00000087170	18	1700001G01Rik
1700001G11Rik	1700001G11Rik	ENSMUSG00000085984	14	1700001G11Rik
1700001G17Rik	1700001G17Rik	ENSMUSG00000103746	1	1700001G17Rik
1700001J04Rik	1700001J04Rik	ENSMUSG00000086135	11	1700001J04Rik
1700001J11Rik	1700001J11Rik	ENSMUSG00000101963	9	1700001J11Rik
1700001K19Rik	1700001K19Rik	ENSMUSG00000056508	12	1700001K19Rik
1700001L05Rik	1700001L05Rik	ENSMUSG00000075511	15	1700001L05Rik
1700001L19Rik	1700001L19Rik	ENSMUSG00000021534	13	1700001L19Rik
1700001O22Rik	1700001O22Rik	ENSMUSG00000044320	2	1700001O22Rik
1700001P01Rik	1700001P01Rik	ENSMUSG00000018543	11	1700001P01Rik
1700003D09Rik	1700003D09Rik	ENSMUSG00000085944	11	1700003D09Rik
1700003E16Rik	1700003E16Rik	ENSMUSG00000030030	6	1700003E16Rik
1700003E24Rik	1700003E24Rik	ENSMUSG00000095110	X	1700003E24Rik
1700003F12Rik	1700003F12Rik	ENSMUSG00000038523	2	1700003F12Rik
1700003F17Rik	NA	NA	NA	1700003F17Rik
1700003G13Rik	1700003G13Rik	ENSMUSG00000085831	9	1700003G13Rik
1700003G18Rik	1700003G18Rik	ENSMUSG00000087621	7	1700003G18Rik
1700003H04Rik	1700003H04Rik	ENSMUSG00000039174	3	1700003H04Rik
1700003M02Rik	NA	NA	NA	1700003M02Rik
1700003M07Rik	1700003M07Rik	ENSMUSG00000085389	4	1700003M07Rik
1700006A11Rik	1700006A11Rik	ENSMUSG00000027973	3	1700006A11Rik
1700006D18Rik	NA	NA	NA	1700006D18Rik
1700006E09Rik	NA	NA	NA	1700006E09Rik
1700006J14Rik	1700006J14Rik	ENSMUSG00000034764	10	1700006J14Rik
1700006P19Rik	NA	NA	NA	1700006P19Rik
1700007B14Rik	NA	NA	NA	1700007B14Rik
1700007G11Rik	NA	NA	NA	1700007G11Rik
1700007I08Rik	NA	NA	NA	1700007I08Rik
1700007J10Rik	1700007J10Rik	ENSMUSG00000086330	11	1700007J10Rik
1700007K09Rik	NA	NA	NA	1700007K09Rik
1700007K13Rik	1700007K13Rik	ENSMUSG00000026831	2	1700007K13Rik
1700007L15Rik	1700007L15Rik	ENSMUSG00000097318	16	1700007L15Rik
1700007M16Rik	1700007M16Rik	ENSMUSG00000086613	2	1700007M16Rik
1700007P06Rik	1700007P06Rik	ENSMUSG00000089730	1	1700007P06Rik
1700008A04Rik	NA	NA	NA	1700008A04Rik
1700008F21Rik	NA	NA	NA	1700008F21Rik
1700008I05Rik	NA	NA	NA	1700008I05Rik
1700008O03Rik	1700008O03Rik	ENSMUSG00000008028	7	1700008O03Rik
1700008P02Rik	1700008P02Rik	ENSMUSG00000069118	3	1700008P02Rik
1700008P20Rik	NA	NA	NA	1700008P20Rik
1700009N14Rik	1700009N14Rik	ENSMUSG00000028287	4	1700009N14Rik
1700009P17Rik	NA	NA	NA	1700009P17Rik
1700010B08Rik	1700010B08Rik	ENSMUSG00000057047	2	1700010B08Rik
1700010D01Rik	1700010D01Rik	ENSMUSG00000071721	X	1700010D01Rik
1700010H22Rik	1700010H22Rik	ENSMUSG00000067101	5	1700010H22Rik
1700010I14Rik	1700010I14Rik	ENSMUSG00000023873	17	1700010I14Rik
1700010K10Rik	NA	NA	NA	1700010K10Rik
1700010K24Rik	1700010K24Rik	ENSMUSG00000085102	3	1700010K24Rik
1700010L04Rik	1700010L04Rik	ENSMUSG00000030636	7	1700010L04Rik
1700010M22Rik	NA	NA	NA	1700010M22Rik
1700011A15Rik	NA	NA	NA	1700011A15Rik
1700011E24Rik	NA	NA	NA	1700011E24Rik
1700011F03Rik	NA	NA	NA	1700011F03Rik
1700011F14Rik	NA	NA	NA	1700011F14Rik
1700011H14Rik	NA	NA	NA	1700011H14Rik
1700011I03Rik	NA	NA	NA	1700011I03Rik
1700011J10Rik	NA	NA	NA	1700011J10Rik
1700011L22Rik	1700011L22Rik	ENSMUSG00000031682	8	1700011L22Rik
1700011M02Rik	1700011M02Rik	ENSMUSG00000079476	X	1700011M02Rik
1700012A03Rik	1700012A03Rik	ENSMUSG00000029766	6	1700012A03Rik
1700012A16Rik	NA	NA	NA	1700012A16Rik
1700012B07Rik	1700012B07Rik	ENSMUSG00000020617	11	1700012B07Rik
1700012B09Rik	1700012B09Rik	ENSMUSG00000031927	9	1700012B09Rik
1700012B15Rik	NA	NA	NA	1700012B15Rik
1700012C08Rik	1700012C08Rik	ENSMUSG00000086482	4	1700012C08Rik
1700012C14Rik	1700012C14Rik	ENSMUSG00000085470	6	1700012C14Rik
1700012L04Rik	NA	NA	NA	1700012L04Rik
1700012P22Rik	1700012P22Rik	ENSMUSG00000028589	4	1700012P22Rik
1700013D24Rik	1700013D24Rik	ENSMUSG00000079346	6	1700013D24Rik
1700013F07Rik	1700013F07Rik	ENSMUSG00000027886	3	1700013F07Rik
1700013G23Rik	NA	NA	NA	1700013G23Rik
1700013G24Rik	1700013G24Rik	ENSMUSG00000041399	4	1700013G24Rik
1700013H16Rik	1700013H16Rik	ENSMUSG00000054727	X	1700013H16Rik
1700013N06Rik	1700013N06Rik	ENSMUSG00000085801	12	1700013N06Rik
1700013N18Rik	NA	NA	NA	1700013N18Rik
1700014D04Rik	1700014D04Rik	ENSMUSG00000051054	13	1700014D04Rik
1700014N06Rik	NA	NA	NA	1700014N06Rik
1700015E13Rik	NA	NA	NA	1700015E13Rik
1700015F17Rik	1700015F17Rik	ENSMUSG00000079666	5	1700015F17Rik
1700015O11Rik	1700015O11Rik	ENSMUSG00000097671	6	1700015O11Rik
1700016C15Rik	1700016C15Rik	ENSMUSG00000015962	1	1700016C15Rik
1700016D06Rik	1700016D06Rik	ENSMUSG00000031509	8	1700016D06Rik
1700016G14Rik	NA	NA	NA	1700016G14Rik
1700016H13Rik	1700016H13Rik	ENSMUSG00000029320	5	1700016H13Rik
1700016K19Rik	1700016K19Rik	ENSMUSG00000053783	11	1700016K19Rik
1700016M24Rik	NA	NA	NA	1700016M24Rik
1700016P03Rik	1700016P03Rik	ENSMUSG00000085609	11	1700016P03Rik
1700017B05Rik	1700017B05Rik	ENSMUSG00000032300	9	1700017B05Rik
1700017D01Rik	1700017D01Rik	ENSMUSG00000024729	19	1700017D01Rik
1700017G19Rik	1700017G19Rik	ENSMUSG00000116410	CHR_MG89_PATCH	1700017G19Rik
1700017J07Rik	1700017J07Rik	ENSMUSG00000086348	2	1700017J07Rik
1700017N19Rik	1700017N19Rik	ENSMUSG00000056912	10	1700017N19Rik
1700018A04Rik	1700018A04Rik	ENSMUSG00000038408	13	1700018A04Rik
1700018A14Rik	1700018A14Rik	ENSMUSG00000103616	18	1700018A14Rik
1700018B08Rik	1700018B08Rik	ENSMUSG00000031809	8	1700018B08Rik
1700018B24Rik	1700018B24Rik	ENSMUSG00000037910	3	1700018B24Rik
1700018C11Rik	NA	NA	NA	1700018C11Rik
1700018F24Rik	1700018F24Rik	ENSMUSG00000029620	5	1700018F24Rik
1700018L24Rik	NA	NA	NA	1700018L24Rik
1700018M17Rik	1700018M17Rik	ENSMUSG00000046145	4	1700018M17Rik
1700019A02Rik	1700019A02Rik	ENSMUSG00000060715	1	1700019A02Rik
1700019B03Rik	NA	NA	NA	1700019B03Rik
1700019B21Rik	NA	NA	NA	1700019B21Rik
1700019D03Rik	1700019D03Rik	ENSMUSG00000043629	1	1700019D03Rik
1700019E08Rik	1700019E08Rik	ENSMUSG00000086202	2	1700019E08Rik
1700019E19Rik	NA	NA	NA	1700019E19Rik
1700019G06Rik	NA	NA	NA	1700019G06Rik
1700019G17Rik	NA	NA	NA	1700019G17Rik
1700019G24Rik	1700019G24Rik	ENSMUSG00000085416	6	1700019G24Rik
1700019L03Rik	NA	NA	NA	1700019L03Rik
1700019M22Rik	1700019M22Rik	ENSMUSG00000059695	12	1700019M22Rik
1700019N12Rik	NA	NA	NA	1700019N12Rik
1700019N19Rik	1700019N19Rik	ENSMUSG00000026931	19	1700019N19Rik
1700019O17Rik	NA	NA	NA	1700019O17Rik
1700020A23Rik	1700020A23Rik	ENSMUSG00000027409	2	1700020A23Rik
1700020C07Rik	NA	NA	NA	1700020C07Rik
1700020I14Rik	1700020I14Rik	ENSMUSG00000085438	2	1700020I14Rik
1700020L24Rik	1700020L24Rik	ENSMUSG00000035085	11	1700020L24Rik
1700020N01Rik	1700020N01Rik	ENSMUSG00000050844	10	1700020N01Rik
1700020N15Rik	1700020N15Rik	ENSMUSG00000059690	X	1700020N15Rik
1700020O03Rik	NA	NA	NA	1700020O03Rik
1700021A07Rik	1700021A07Rik	ENSMUSG00000037535	10	1700021A07Rik
1700021C14Rik	NA	NA	NA	1700021C14Rik
1700021F05Rik	1700021F05Rik	ENSMUSG00000019797	10	1700021F05Rik
1700021F07Rik	1700021F07Rik	ENSMUSG00000027518	2	1700021F07Rik
1700021J08Rik	1700021J08Rik	ENSMUSG00000086890	4	1700021J08Rik
1700021K19Rik	NA	NA	NA	1700021K19Rik
1700021L23Rik	1700021L23Rik	ENSMUSG00000086955	4	1700021L23Rik
1700021N21Rik	1700021N21Rik	ENSMUSG00000087343	4	1700021N21Rik
1700021O21Rik	NA	NA	NA	1700021O21Rik
1700022A21Rik	1700022A21Rik	ENSMUSG00000038165	5	1700022A21Rik
1700022I11Rik	1700022I11Rik	ENSMUSG00000028451	4	1700022I11Rik
1700022K14Rik	NA	NA	NA	1700022K14Rik
1700022N22Rik	1700022N22Rik	ENSMUSG00000097523	17	1700022N22Rik
1700022P22Rik	NA	NA	NA	1700022P22Rik
1700023A16Rik	NA	NA	NA	1700023A16Rik
1700023C21Rik	1700023C21Rik	ENSMUSG00000087393	11	1700023C21Rik
1700023E05Rik	NA	NA	NA	1700023E05Rik
1700023F06Rik	1700023F06Rik	ENSMUSG00000020940	11	1700023F06Rik
1700023H06Rik	1700023H06Rik	ENSMUSG00000089827	13	1700023H06Rik
1700023I07Rik	NA	NA	NA	1700023I07Rik
1700023L04Rik	NA	NA	NA	1700023L04Rik
1700024B05Rik	1700024B05Rik	ENSMUSG00000052334	14	1700024B05Rik
1700024G13Rik	1700024G13Rik	ENSMUSG00000072473	14	1700024G13Rik
1700024J04Rik	1700024J04Rik	ENSMUSG00000069890	11	1700024J04Rik
1700024N20Rik	NA	NA	NA	1700024N20Rik
1700024P03Rik	NA	NA	NA	1700024P03Rik
1700024P04Rik	1700024P04Rik	ENSMUSG00000045022	13	1700024P04Rik
1700024P16Rik	NA	NA	NA	1700024P16Rik
1700025C18Rik	1700025C18Rik	ENSMUSG00000078935	2	1700025C18Rik
1700025D23Rik	1700025D23Rik	ENSMUSG00000086760	11	1700025D23Rik
1700025E21Rik	NA	NA	NA	1700025E21Rik
1700025F22Rik	1700025F22Rik	ENSMUSG00000024728	19	1700025F22Rik
1700025G04Rik	1700025G04Rik	ENSMUSG00000032666	1	1700025G04Rik
1700025K23Rik	NA	NA	NA	1700025K23Rik
1700025N21Rik	1700025N21Rik	ENSMUSG00000090200	10	1700025N21Rik
1700025O08Rik	1700025O08Rik	ENSMUSG00000028244	4	1700025O08Rik
1700026D08Rik	NA	NA	NA	1700026D08Rik
1700026D11Rik	1700026D11Rik	ENSMUSG00000086379	2	1700026D11Rik
1700026J04Rik	NA	NA	NA	1700026J04Rik
1700026J12Rik	1700026J12Rik	ENSMUSG00000073976	16	1700026J12Rik
1700026J14Rik	1700026J14Rik	ENSMUSG00000097716	6	1700026J14Rik
1700026L06Rik	NA	NA	NA	1700026L06Rik
1700027A07Rik	1700027A07Rik	ENSMUSG00000084864	15	1700027A07Rik
1700027A23Rik	NA	NA	NA	1700027A23Rik
1700027D21Rik	NA	NA	NA	1700027D21Rik
1700027L20Rik	NA	NA	NA	1700027L20Rik
1700028E10Rik	1700028E10Rik	ENSMUSG00000097321	5	1700028E10Rik
1700028I16Rik	1700028I16Rik	ENSMUSG00000056821	10	1700028I16Rik
1700028J19Rik	1700028J19Rik	ENSMUSG00000038782	7	1700028J19Rik
1700028K03Rik	1700028K03Rik	ENSMUSG00000089798	5	1700028K03Rik
1700028N14Rik	1700028N14Rik	ENSMUSG00000078635	11	1700028N14Rik
1700028P14Rik	1700028P14Rik	ENSMUSG00000033053	19	1700028P14Rik
1700028P15Rik	1700028P15Rik	ENSMUSG00000086823	2	1700028P15Rik
1700029F09Rik	NA	NA	NA	1700029F09Rik
1700029F12Rik	1700029F12Rik	ENSMUSG00000052075	13	1700029F12Rik
1700029G01Rik	NA	NA	NA	1700029G01Rik
1700029H14Rik	1700029H14Rik	ENSMUSG00000031452	8	1700029H14Rik
1700029I01Rik	NA	NA	NA	1700029I01Rik
1700029I15Rik	1700029I15Rik	ENSMUSG00000044916	2	1700029I15Rik
1700029J07Rik	1700029J07Rik	ENSMUSG00000071103	8	1700029J07Rik
1700029J11Rik	NA	NA	NA	1700029J11Rik
1700029M20Rik	1700029M20Rik	ENSMUSG00000086788	4	1700029M20Rik
1700029P11Rik	1700029P11Rik	ENSMUSG00000061633	15	1700029P11Rik
1700030A11Rik	1700030A11Rik	ENSMUSG00000085333	17	1700030A11Rik
1700030C10Rik	1700030C10Rik	ENSMUSG00000099759	12	1700030C10Rik
1700030C12Rik	1700030C12Rik	ENSMUSG00000086459	11	1700030C12Rik
1700030C14Rik	1700030C14Rik	ENSMUSG00000087148	2	1700030C14Rik
1700030F18Rik	NA	NA	NA	1700030F18Rik
1700030G06Rik	NA	NA	NA	1700030G06Rik
1700030J22Rik	1700030J22Rik	ENSMUSG00000031847	8	1700030J22Rik
1700030K09Rik	1700030K09Rik	ENSMUSG00000052794	8	1700030K09Rik
1700031A10Rik	1700031A10Rik	ENSMUSG00000092239	17	1700031A10Rik
1700031F05Rik	1700031F05Rik	ENSMUSG00000032894	X	1700031F05Rik
1700031F10Rik	1700031F10Rik	ENSMUSG00000047046	6	1700031F10Rik
1700034E13Rik	1700034E13Rik	ENSMUSG00000024532	18	1700034E13Rik
1700034F02Rik	NA	NA	NA	1700034F02Rik
1700034H14Rik	NA	NA	NA	1700034H14Rik
1700034H15Rik	1700034H15Rik	ENSMUSG00000111237	CHR_MG3999_PATCH	1700034H15Rik
1700034I23Rik	1700034I23Rik	ENSMUSG00000116310	CHR_MG89_PATCH	1700034I23Rik
1700034J04Rik	1700034J04Rik	ENSMUSG00000103287	12	1700034J04Rik
1700034J05Rik	1700034J05Rik	ENSMUSG00000040163	6	1700034J05Rik
1700034O15Rik	NA	NA	NA	1700034O15Rik
1700034P13Rik	1700034P13Rik	ENSMUSG00000097893	1	1700034P13Rik
1700036A12Rik	1700036A12Rik	ENSMUSG00000095956	9	1700036A12Rik
1700036O09Rik	1700036O09Rik	ENSMUSG00000086185	X	1700036O09Rik
1700037C06Rik	1700037C06Rik	ENSMUSG00000085542	4	1700037C06Rik
1700037C18Rik	1700037C18Rik	ENSMUSG00000005983	16	1700037C18Rik
1700037F24Rik	1700037F24Rik	ENSMUSG00000097540	1	1700037F24Rik
1700037H04Rik	1700037H04Rik	ENSMUSG00000027327	2	1700037H04Rik
1700039E15Rik	NA	NA	NA	1700039E15Rik
1700039E22Rik	1700039E22Rik	ENSMUSG00000092369	19	1700039E22Rik
1700039M10Rik	1700039M10Rik	ENSMUSG00000097933	14	1700039M10Rik
1700040D17Rik	1700040D17Rik	ENSMUSG00000097515	3	1700040D17Rik
1700040I03Rik	NA	NA	NA	1700040I03Rik
1700040L02Rik	NA	NA	NA	1700040L02Rik
1700040N02Rik	NA	NA	NA	1700040N02Rik
1700041G16Rik	1700041G16Rik	ENSMUSG00000054822	8	1700041G16Rik
1700041M05Rik	1700041M05Rik	ENSMUSG00000087010	4	1700041M05Rik
1700042B14Rik	NA	NA	NA	1700042B14Rik
1700042G07Rik	1700042G07Rik	ENSMUSG00000078593	4	1700042G07Rik
1700042G15Rik	1700042G15Rik	ENSMUSG00000087044	4	1700042G15Rik
1700042O10Rik	1700042O10Rik	ENSMUSG00000086391	11	1700042O10Rik
1700045H11Rik	1700045H11Rik	ENSMUSG00000078492	4	1700045H11Rik
1700045I11Rik	1700045I11Rik	ENSMUSG00000104526	4	1700045I11Rik
1700045I19Rik	NA	NA	NA	1700045I19Rik
1700046C09Rik	1700046C09Rik	ENSMUSG00000085561	11	1700046C09Rik
1700047A11Rik	1700047A11Rik	ENSMUSG00000085437	8	1700047A11Rik
1700047F07Rik	1700047F07Rik	ENSMUSG00000085549	4	1700047F07Rik
1700047G07Rik	1700047G07Rik	ENSMUSG00000110717	8	1700047G07Rik
1700047I17Rik2	1700047I17Rik2	ENSMUSG00000094103	12	1700047I17Rik2
