ensembl_gene_id	chromosome_name
YDL130W.A	YDL130W.A	NA
YDL130W	YDL130W	IV
YDL129W	YDL129W	IV
YDL128W	YDL128W	IV
YDL127W	YDL127W	IV
YDL126C	YDL126C	IV
YDL125C	YDL125C	IV
YDL124W	YDL124W	IV
YDL123W	YDL123W	IV
YDL122W	YDL122W	IV
YDL121C	YDL121C	IV
YDL120W	YDL120W	IV
YDL119C	YDL119C	IV
YDL118W	YDL118W	IV
YDL117W	YDL117W	IV
YDL116W	YDL116W	IV
YDL115C	YDL115C	IV
YDL114W.A	YDL114W.A	NA
YDL114W	YDL114W	IV
YDL113C	YDL113C	IV
YDL112W	YDL112W	IV
YDL111C	YDL111C	IV
YDL110C	YDL110C	IV
YDL109C	YDL109C	IV
YDL108W	YDL108W	IV
YDL107W	YDL107W	IV
YDL106C	YDL106C	IV
YDL105W	YDL105W	IV
YDL104C	YDL104C	IV
YDL103C	YDL103C	IV
YDL102W	YDL102W	IV
YDL101C	YDL101C	IV
YDL100C	YDL100C	IV
YDL099W	YDL099W	IV
YDL098C	YDL098C	IV
YDL097C	YDL097C	IV
YDL096C	YDL096C	IV
YDL095W	YDL095W	IV
YDL094C	YDL094C	IV
YDL093W	YDL093W	IV
YDL092W	YDL092W	IV
YDL091C	YDL091C	IV
YDL090C	YDL090C	IV
YDL089W	YDL089W	IV
YDL088C	YDL088C	IV
YDL087C	YDL087C	IV
YDL086W	YDL086W	IV
YDL086C.A	YDL086C.A	NA
YDL085C.A	YDL085C.A	NA
YDL085W	YDL085W	IV
YDL084W	YDL084W	IV
YDL083C	YDL083C	IV
YDL082W	YDL082W	IV
YDL081C	YDL081C	IV
YDL080C	YDL080C	IV
YDL079C	YDL079C	IV
YDL078C	YDL078C	IV
YDL077C	YDL077C	IV
YDL076C	YDL076C	IV
YDL075W	YDL075W	IV
snR63	snR63	IV
YDL074C	YDL074C	IV
YDL073W	YDL073W	IV
YDL072C	YDL072C	IV
YDL071C	YDL071C	IV
YDL070W	YDL070W	IV
YDL069C	YDL069C	IV
YDL068W	YDL068W	IV
YDL067C	YDL067C	IV
YDL066W	YDL066W	IV
YDL065C	YDL065C	IV
YDL064W	YDL064W	IV
YDL063C	YDL063C	IV
YDL062W	YDL062W	IV
YDL061C	YDL061C	IV
YDL060W	YDL060W	IV
YDL059C	YDL059C	IV
YDL058W	YDL058W	IV
YDL057W	YDL057W	IV
YDL056W	YDL056W	IV
YDL055C	YDL055C	IV
YDL054C	YDL054C	IV
YDL053C	YDL053C	IV
YDL052C	YDL052C	IV
YDL051W	YDL051W	IV
YDL050C	YDL050C	IV
YDL049C	YDL049C	IV
YDL048C	YDL048C	IV
YDL047W	YDL047W	IV
YDL046W	YDL046W	IV
YDL045W.A	YDL045W.A	NA
YDL045C	YDL045C	IV
YDL044C	YDL044C	IV
YDL043C	YDL043C	IV
YDL042C	YDL042C	IV
YDL041W	YDL041W	IV
YDL040C	YDL040C	IV
YDL039C	YDL039C	IV
YDL037C	YDL037C	IV
YDL036C	YDL036C	IV
YDL035C	YDL035C	IV
YDL034W	YDL034W	IV
YDL033C	YDL033C	IV
YDL032W	YDL032W	IV
YDL031W	YDL031W	IV
YDL030W	YDL030W	IV
YDL029W	YDL029W	IV
YDL028C	YDL028C	IV
YDL027C	YDL027C	IV
YDL026W	YDL026W	IV
YDL025C	YDL025C	IV
YDL025W.A	YDL025W.A	NA
YDL024C	YDL024C	IV
YDL022C.A	YDL022C.A	NA
YDL023C	YDL023C	IV
YDL022W	YDL022W	IV
YDL021W	YDL021W	IV
YDL020C	YDL020C	IV
YDL019C	YDL019C	IV
YDL018C	YDL018C	IV
YDL017W	YDL017W	IV
YDL016C	YDL016C	IV
YDL015C	YDL015C	IV
YDL014W	YDL014W	IV
YDL013W	YDL013W	IV
YDL012C	YDL012C	IV
YDL011C	YDL011C	IV
YDL010W	YDL010W	IV
YDL009C	YDL009C	IV
YDL008W	YDL008W	IV
YDL007C.A	YDL007C.A	NA
YDL007W	YDL007W	IV
YDL006W	YDL006W	IV
YDL005C	YDL005C	IV
YDL004W	YDL004W	IV
YDL003W	YDL003W	IV
YDL002C	YDL002C	IV
YDL001W	YDL001W	IV
YDR001C	YDR001C	IV
YDR002W	YDR002W	IV
YDR003W	YDR003W	IV
YDR003W.A	YDR003W.A	NA
YDR004W	YDR004W	IV
YDR005C	YDR005C	IV
YDR006C	YDR006C	IV
YDR007W	YDR007W	IV
YDR008C	YDR008C	IV
YDR009W	YDR009W	IV
YDR010C	YDR010C	IV
YDR011W	YDR011W	IV
YDR012W	YDR012W	IV
YDR013W	YDR013W	IV
YDR014W	YDR014W	IV
YDR014W.A	YDR014W.A	NA
YDR015C	YDR015C	IV
YDR016C	YDR016C	IV
YDR017C	YDR017C	IV
YDR018C	YDR018C	IV
YDR019C	YDR019C	IV
YDR020C	YDR020C	IV
YDR021W	YDR021W	IV
YDR022C	YDR022C	IV
YDR023W	YDR023W	IV
YDR024W	YDR024W	IV
YDR025W	YDR025W	IV
YDR026C	YDR026C	IV
YDR027C	YDR027C	IV
YDR028C	YDR028C	IV
YDR029W	YDR029W	IV
YDR030C	YDR030C	IV
YDR031W	YDR031W	IV
YDR032C	YDR032C	IV
YDR033W	YDR033W	IV
YDR034C	YDR034C	IV
YDR034C.D	YDR034C.D	NA
YDR034C.C	YDR034C.C	NA
YDR034C.A	YDR034C.A	NA
YDR034W.B	YDR034W.B	NA
YDR035W	YDR035W	IV
YDR036C	YDR036C	IV
YDR037W	YDR037W	IV
YDR038C	YDR038C	IV
YDR039C	YDR039C	IV
YDR040C	YDR040C	IV
YDR041W	YDR041W	IV
YDR042C	YDR042C	IV
snR47	snR47	IV
YDR043C	YDR043C	IV
YDR044W	YDR044W	IV
YDR045C	YDR045C	IV
YDR046C	YDR046C	IV
YDR047W	YDR047W	IV
YDR048C	YDR048C	IV
YDR049W	YDR049W	IV
YDR050C	YDR050C	IV
YDR051C	YDR051C	IV
YDR052C	YDR052C	IV
YDR053W	YDR053W	IV
YDR054C	YDR054C	IV
YDR055W	YDR055W	IV
YDR056C	YDR056C	IV
YDR057W	YDR057W	IV
YDR058C	YDR058C	IV
YDR059C	YDR059C	IV
YDR060W	YDR060W	IV
YDR061W	YDR061W	IV
YDR062W	YDR062W	IV
YDR063W	YDR063W	IV
YDR064W	YDR064W	IV
YDR065W	YDR065W	IV
YDR066C	YDR066C	IV
YDR067C	YDR067C	IV
YDR068W	YDR068W	IV
YDR069C	YDR069C	IV
YDR070C	YDR070C	IV
YDR071C	YDR071C	IV
YDR072C	YDR072C	IV
YDR073W	YDR073W	IV
YDR074W	YDR074W	IV
YDR075W	YDR075W	IV
YDR076W	YDR076W	IV
YDR077W	YDR077W	IV
YDR078C	YDR078C	IV
YDR079W	YDR079W	IV
YDR079C.A	YDR079C.A	NA
YDR080W	YDR080W	IV
YDR081C	YDR081C	IV
YDR082W	YDR082W	IV
YDR083W	YDR083W	IV
YDR084C	YDR084C	IV
YDR085C	YDR085C	IV
YDR086C	YDR086C	IV
YDR087C	YDR087C	IV
YDR088C	YDR088C	IV
YDR089W	YDR089W	IV
YDR090C	YDR090C	IV
YDR091C	YDR091C	IV
YDR092W	YDR092W	IV
YDR093W	YDR093W	IV
YDR094W	YDR094W	IV
YDR095C	YDR095C	IV
YDR096W	YDR096W	IV
YDR097C	YDR097C	IV
YDR098C	YDR098C	IV
YDR098C.B	YDR098C.B	NA
YDR098C.A	YDR098C.A	NA
YDR099W	YDR099W	IV
YDR100W	YDR100W	IV
YDR101C	YDR101C	IV
YDR102C	YDR102C	IV
YDR103W	YDR103W	IV
YDR104C	YDR104C	IV
YDR105C	YDR105C	IV
YDR106W	YDR106W	IV
YDR107C	YDR107C	IV
YDR108W	YDR108W	IV
YDR109C	YDR109C	IV
YDR110W	YDR110W	IV
YDR111C	YDR111C	IV
YDR112W	YDR112W	IV
YDR113C	YDR113C	IV
YDR114C	YDR114C	IV
YDR115W	YDR115W	IV
YDR116C	YDR116C	IV
YDR117C	YDR117C	IV
YDR118W	YDR118W	IV
YDR118W.A	YDR118W.A	NA
YDR119W	YDR119W	IV
YDR119W.A	YDR119W.A	NA
YDR120C	YDR120C	IV
YDR121W	YDR121W	IV
YDR122W	YDR122W	IV
YDR123C	YDR123C	IV
YDR124W	YDR124W	IV
YDR125C	YDR125C	IV
YDR126W	YDR126W	IV
YDR127W	YDR127W	IV
YDR128W	YDR128W	IV
YDR129C	YDR129C	IV
YDR130C	YDR130C	IV
YDR131C	YDR131C	IV
YDR132C	YDR132C	IV
YDR133C	YDR133C	IV
YDR134C	YDR134C	NA
YDR135C	YDR135C	IV
YDR136C	YDR136C	IV
YDR137W	YDR137W	IV
YDR138W	YDR138W	IV
YDR139C	YDR139C	IV
YDR140W	YDR140W	IV
YDR141C	YDR141C	IV
YDR142C	YDR142C	IV
YDR143C	YDR143C	IV
YDR144C	YDR144C	IV
YDR145W	YDR145W	IV
YDR146C	YDR146C	IV
YDR147W	YDR147W	IV
YDR148C	YDR148C	IV
YDR149C	YDR149C	IV
YDR150W	YDR150W	IV
YDR151C	YDR151C	IV
YDR152W	YDR152W	IV
YDR153C	YDR153C	IV
YDR154C	YDR154C	IV
YDR155C	YDR155C	IV
YDR156W	YDR156W	IV
YDR157W	YDR157W	IV
YDR158W	YDR158W	IV
YDR159W	YDR159W	IV
YDR160W	YDR160W	IV
YDR161W	YDR161W	IV
YDR162C	YDR162C	IV
YDR163W	YDR163W	IV
YDR164C	YDR164C	IV
YDR165W	YDR165W	IV
YDR166C	YDR166C	IV
YDR167W	YDR167W	IV
YDR168W	YDR168W	IV
YDR169C	YDR169C	IV
YDR169C.A	YDR169C.A	NA
YDR170C	YDR170C	IV
YDR170W.A	YDR170W.A	NA
YDR171W	YDR171W	IV
YDR172W	YDR172W	IV
YDR173C	YDR173C	IV
YDR174W	YDR174W	IV
YDR175C	YDR175C	IV
YDR176W	YDR176W	IV
YDR177W	YDR177W	IV
YDR178W	YDR178W	IV
YDR179C	YDR179C	IV
YDR179W.A	YDR179W.A	NA
YDR180W	YDR180W	IV
YDR181C	YDR181C	IV
YDR182W	YDR182W	IV
YDR182W.A	YDR182W.A	NA
YDR183W	YDR183W	IV
YDR183C.A	YDR183C.A	NA
YDR184C	YDR184C	IV
YDR185C	YDR185C	IV
YDR186C	YDR186C	IV
YDR187C	YDR187C	IV
YDR188W	YDR188W	IV
YDR189W	YDR189W	IV
YDR190C	YDR190C	IV
YDR191W	YDR191W	IV
YDR192C	YDR192C	IV
YDR193W	YDR193W	IV
YDR194C	YDR194C	IV
YDR194W.A	YDR194W.A	NA
YDR195W	YDR195W	IV
YDR196C	YDR196C	IV
YDR197W	YDR197W	IV
YDR198C	YDR198C	IV
YDR199W	YDR199W	IV
YDR200C	YDR200C	IV
YDR201W	YDR201W	IV
YDR202C	YDR202C	IV
YDR203W	YDR203W	IV
YDR204W	YDR204W	IV
YDR205W	YDR205W	IV
YDR206W	YDR206W	IV
YDR207C	YDR207C	IV
YDR208W	YDR208W	IV
YDR209C	YDR209C	IV
YDR210W	YDR210W	IV
YDR210W.B	YDR210W.B	NA
YDR210W.A	YDR210W.A	NA
YDR210C.D	YDR210C.D	NA
YDR210C.C	YDR210C.C	NA
YDR211W	YDR211W	IV
YDR212W	YDR212W	IV
YDR213W	YDR213W	IV
YDR214W	YDR214W	IV
YDR215C	YDR215C	IV
YDR216W	YDR216W	IV
YDR217C	YDR217C	IV
YDR218C	YDR218C	IV
YDR219C	YDR219C	IV
YDR220C	YDR220C	IV
YDR221W	YDR221W	IV
YDR222W	YDR222W	IV
YDR223W	YDR223W	IV
YDR224C	YDR224C	IV
YDR225W	YDR225W	IV
YDR226W	YDR226W	IV
YDR227W	YDR227W	IV
YDR228C	YDR228C	IV
YDR229W	YDR229W	IV
YDR230W	YDR230W	IV
YDR231C	YDR231C	IV
YDR232W	YDR232W	IV
YDR233C	YDR233C	IV
YDR234W	YDR234W	IV
YDR235W	YDR235W	IV
YDR236C	YDR236C	IV
YDR237W	YDR237W	IV
YDR238C	YDR238C	IV
YDR239C	YDR239C	IV
YDR240C	YDR240C	IV
YDR241W	YDR241W	IV
YDR242W	YDR242W	IV
YDR243C	YDR243C	IV
YDR244W	YDR244W	IV
YDR245W	YDR245W	IV
YDR246W	YDR246W	IV
YDR246W.A	YDR246W.A	NA
YDR247W	YDR247W	IV
YDR248C	YDR248C	IV
YDR249C	YDR249C	IV
YDR250C	YDR250C	IV
YDR251W	YDR251W	IV
YDR252W	YDR252W	IV
YDR253C	YDR253C	IV
YDR254W	YDR254W	IV
YDR255C	YDR255C	IV
YDR256C	YDR256C	IV
YDR257C	YDR257C	IV
YDR258C	YDR258C	IV
YDR259C	YDR259C	IV
YDR260C	YDR260C	IV
YDR261C	YDR261C	IV
YDR261W.A	YDR261W.A	NA
YDR261W.B	YDR261W.B	NA
YDR261C.D	YDR261C.D	NA
YDR261C.C	YDR261C.C	NA
YDR262W	YDR262W	IV
YDR263C	YDR263C	IV
YDR264C	YDR264C	IV
YDR265W	YDR265W	IV
YDR266C	YDR266C	IV
YDR267C	YDR267C	IV
YDR268W	YDR268W	IV
YDR269C	YDR269C	IV
YDR270W	YDR270W	IV
YDR271C	YDR271C	IV
YDR272W	YDR272W	IV
YDR273W	YDR273W	IV
YDR274C	YDR274C	IV
YDR275W	YDR275W	IV
YDR276C	YDR276C	IV
YDR277C	YDR277C	IV
YDR278C	YDR278C	IV
YDR279W	YDR279W	IV
YDR280W	YDR280W	IV
YDR281C	YDR281C	IV
YDR282C	YDR282C	IV
YDR283C	YDR283C	IV
YDR284C	YDR284C	IV
YDR285W	YDR285W	IV
YDR286C	YDR286C	IV
YDR287W	YDR287W	IV
YDR288W	YDR288W	IV
YDR289C	YDR289C	IV
YDR290W	YDR290W	IV
YDR291W	YDR291W	IV
YDR292C	YDR292C	IV
YDR293C	YDR293C	IV
YDR294C	YDR294C	IV
YDR295C	YDR295C	IV
YDR296W	YDR296W	IV
YDR297W	YDR297W	IV
YDR298C	YDR298C	IV
YDR299W	YDR299W	IV
YDR300C	YDR300C	IV
YDR301W	YDR301W	IV
YDR302W	YDR302W	IV
YDR303C	YDR303C	IV
YDR304C	YDR304C	IV
YDR305C	YDR305C	IV
YDR306C	YDR306C	IV
YDR307W	YDR307W	IV
YDR308C	YDR308C	IV
YDR309C	YDR309C	IV
YDR310C	YDR310C	IV
YDR311W	YDR311W	IV
YDR312W	YDR312W	IV
YDR313C	YDR313C	IV
YDR314C	YDR314C	IV
YDR315C	YDR315C	IV
YDR316W	YDR316W	IV
YDR316W.A	YDR316W.A	NA
YDR316W.B	YDR316W.B	NA
YDR317W	YDR317W	IV
YDR318W	YDR318W	IV
YDR319C	YDR319C	IV
YDR320C	YDR320C	IV
YDR320C.A	YDR320C.A	NA
YDR320W.B	YDR320W.B	NA
YDR321W	YDR321W	IV
YDR322W	YDR322W	IV
YDR322C.A	YDR322C.A	NA
YDR323C	YDR323C	IV
YDR324C	YDR324C	IV
YDR325W	YDR325W	IV
YDR326C	YDR326C	IV
YDR327W	YDR327W	IV
YDR328C	YDR328C	IV
YDR329C	YDR329C	IV
YDR330W	YDR330W	IV
YDR331W	YDR331W	IV
YDR332W	YDR332W	IV
YDR333C	YDR333C	IV
YDR334W	YDR334W	IV
YDR335W	YDR335W	IV
YDR336W	YDR336W	IV
YDR337W	YDR337W	IV
YDR338C	YDR338C	IV
YDR339C	YDR339C	IV
YDR340W	YDR340W	IV
YDR341C	YDR341C	IV
YDR342C	YDR342C	IV
YDR343C	YDR343C	IV
YDR344C	YDR344C	IV
YDR345C	YDR345C	IV
YDR346C	YDR346C	IV
YDR347W	YDR347W	IV
YDR348C	YDR348C	IV
YDR349C	YDR349C	IV
YDR350C	YDR350C	IV
YDR351W	YDR351W	IV
YDR352W	YDR352W	IV
YDR353W	YDR353W	IV
YDR354W	YDR354W	IV
YDR354C.A	YDR354C.A	NA
YDR355C	YDR355C	IV
YDR356W	YDR356W	IV
YDR357C	YDR357C	IV
YDR358W	YDR358W	IV
YDR359C	YDR359C	IV
YDR360W	YDR360W	IV
YDR361C	YDR361C	IV
YDR362C	YDR362C	IV
YDR363W	YDR363W	IV
YDR363W.A	YDR363W.A	NA
YDR364C	YDR364C	IV
YDR365C	YDR365C	IV
YDR365W.B	YDR365W.B	NA
YDR365W.A	YDR365W.A	NA
YDR366C	YDR366C	IV
YDR367W	YDR367W	IV
YDR368W	YDR368W	IV
YDR369C	YDR369C	IV
YDR370C	YDR370C	IV
YDR371W	YDR371W	IV
YDR371C.A	YDR371C.A	NA
YDR372C	YDR372C	IV
YDR373W	YDR373W	IV
YDR374C	YDR374C	IV
YDR374W.A	YDR374W.A	NA
YDR375C	YDR375C	IV
YDR376W	YDR376W	IV
YDR377W	YDR377W	IV
YDR378C	YDR378C	IV
YDR379W	YDR379W	IV
YDR379C.A	YDR379C.A	NA
YDR380W	YDR380W	IV
YDR381W	YDR381W	IV
YDR381C.A	YDR381C.A	NA
YDR382W	YDR382W	IV
YDR383C	YDR383C	IV
YDR384C	YDR384C	IV
YDR385W	YDR385W	IV
YDR386W	YDR386W	IV
YDR387C	YDR387C	IV
YDR388W	YDR388W	IV
YDR389W	YDR389W	IV
YDR390C	YDR390C	IV
YDR391C	YDR391C	IV
YDR392W	YDR392W	IV
YDR393W	YDR393W	IV
YDR394W	YDR394W	IV
YDR395W	YDR395W	IV
YDR396W	YDR396W	IV
YDR397C	YDR397C	IV
YDR398W	YDR398W	IV
YDR399W	YDR399W	IV
YDR400W	YDR400W	IV
YDR401W	YDR401W	IV
YDR402C	YDR402C	IV
YDR403W	YDR403W	IV
YDR404C	YDR404C	IV
YDR405W	YDR405W	IV
YDR406W	YDR406W	IV
YDR406W.A	YDR406W.A	NA
YDR407C	YDR407C	IV
YDR408C	YDR408C	IV
YDR409W	YDR409W	IV
YDR410C	YDR410C	IV
YDR411C	YDR411C	IV
YDR412W	YDR412W	IV
YDR413C	YDR413C	IV
YDR414C	YDR414C	IV
YDR415C	YDR415C	IV
YDR416W	YDR416W	IV
YDR417C	YDR417C	IV
YDR418W	YDR418W	IV
YDR419W	YDR419W	IV
YDR420W	YDR420W	IV
YDR421W	YDR421W	IV
YDR422C	YDR422C	IV
YDR423C	YDR423C	IV
YDR424C	YDR424C	IV
YDR425W	YDR425W	IV
YDR426C	YDR426C	IV
YDR427W	YDR427W	IV
YDR428C	YDR428C	IV
YDR429C	YDR429C	IV
YDR430C	YDR430C	IV
YDR431W	YDR431W	IV
YDR432W	YDR432W	IV
YDR433W	YDR433W	IV
YDR434W	YDR434W	IV
YDR435C	YDR435C	IV
YDR436W	YDR436W	IV
YDR437W	YDR437W	IV
YDR438W	YDR438W	IV
YDR439W	YDR439W	IV
YDR440W	YDR440W	IV
YDR441C	YDR441C	IV
YDR442W	YDR442W	IV
YDR443C	YDR443C	IV
YDR444W	YDR444W	IV
YDR445C	YDR445C	IV
YDR446W	YDR446W	IV
YDR447C	YDR447C	IV
YDR448W	YDR448W	IV
YDR449C	YDR449C	IV
YDR450W	YDR450W	IV
YDR451C	YDR451C	IV
YDR452W	YDR452W	IV
YDR453C	YDR453C	IV
YDR454C	YDR454C	IV
YDR455C	YDR455C	IV
YDR456W	YDR456W	IV
YDR457W	YDR457W	IV
YDR458C	YDR458C	IV
YDR459C	YDR459C	IV
YDR460W	YDR460W	IV
YDR461W	YDR461W	IV
YDR461C.A	YDR461C.A	NA
YDR462W	YDR462W	IV
YDR463W	YDR463W	IV
YDR464W	YDR464W	IV
YDR464C.A	YDR464C.A	NA
YDR465C	YDR465C	IV
YDR466W	YDR466W	IV
YDR467C	YDR467C	IV
YDR468C	YDR468C	IV
YDR469W	YDR469W	IV
YDR470C	YDR470C	IV
YDR471W	YDR471W	IV
snR13	snR13	IV
YDR472W	YDR472W	IV
YDR473C	YDR473C	IV
YDR475C	YDR475C	IV
YDR476C	YDR476C	IV
YDR477W	YDR477W	IV
YDR478W	YDR478W	IV
YDR479C	YDR479C	IV
YDR480W	YDR480W	IV
YDR481C	YDR481C	IV
YDR482C	YDR482C	IV
YDR483W	YDR483W	IV
YDR484W	YDR484W	IV
YDR485C	YDR485C	IV
YDR486C	YDR486C	IV
YDR487C	YDR487C	IV
YDR488C	YDR488C	IV
YDR489W	YDR489W	IV
YDR490C	YDR490C	IV
YDR491C	YDR491C	IV
YDR492W	YDR492W	IV
YDR493W	YDR493W	IV
YDR494W	YDR494W	IV
YDR495C	YDR495C	IV
YDR496C	YDR496C	IV
YDR497C	YDR497C	IV
YDR498C	YDR498C	IV
YDR499W	YDR499W	IV
YDR500C	YDR500C	IV
YDR501W	YDR501W	IV
YDR502C	YDR502C	IV
YDR503C	YDR503C	IV
YDR504C	YDR504C	IV
YDR505C	YDR505C	IV
YDR506C	YDR506C	IV
YDR507C	YDR507C	IV
YDR508C	YDR508C	IV
YDR509W	YDR509W	IV
YDR510W	YDR510W	IV
YDR510C.A	YDR510C.A	NA
YDR511W	YDR511W	IV
YDR512C	YDR512C	IV
YDR513W	YDR513W	IV
YDR514C	YDR514C	IV
YDR515W	YDR515W	IV
YDR516C	YDR516C	IV
YDR517W	YDR517W	IV
YDR518W	YDR518W	IV
YDR519W	YDR519W	IV
YDR520C	YDR520C	IV
YDR521W	YDR521W	IV
YDR522C	YDR522C	IV
YDR523C	YDR523C	IV
YDR524C	YDR524C	IV
YDR524W.C	YDR524W.C	NA
YDR524C.B	YDR524C.B	NA
YDR524C.A	YDR524C.A	NA
YDR525W	YDR525W	IV
YDR525W.A	YDR525W.A	NA
YDR526C	YDR526C	IV
YDR527W	YDR527W	IV
snR84	snR84	IV
YDR528W	YDR528W	IV
YDR529C	YDR529C	IV
YDR530C	YDR530C	IV
YDR531W	YDR531W	IV
YDR532C	YDR532C	IV
YDR533C	YDR533C	IV
YDR534C	YDR534C	IV
YDR535C	YDR535C	IV
YDR536W	YDR536W	IV
YDR537C	YDR537C	IV
YDR538W	YDR538W	IV
YDR539W	YDR539W	IV
YDR540C	YDR540C	IV
YDR541C	YDR541C	IV
YDR542W	YDR542W	IV
YDR543C	YDR543C	IV
YDR544C	YDR544C	IV
YDR545W	YDR545W	IV
YDR545C.A	YDR545C.A	NA
YOL166W.A	YOL166W.A	NA
YOL166C	YOL166C	XV
YOL165C	YOL165C	XV
YOL164W.A	YOL164W.A	NA
YOL164W	YOL164W	XV
YOL163W	YOL163W	XV
YOL162W	YOL162W	XV
YOL161C	YOL161C	XV
YOL160W	YOL160W	XV
YOL159C.A	YOL159C.A	NA
YOL159C	YOL159C	XV
YOL158C	YOL158C	XV
YOL157C	YOL157C	XV
YOL156W	YOL156W	XV
YOL155W.A	YOL155W.A	NA
YOL155C	YOL155C	XV
YOL154W	YOL154W	XV
YOL153C	YOL153C	NA
YOL152W	YOL152W	XV
YOL151W	YOL151W	XV
YOL150C	YOL150C	XV
YOL149W	YOL149W	XV
YOL148C	YOL148C	XV
YOL147C	YOL147C	XV
YOL146W	YOL146W	XV
YOL145C	YOL145C	XV
YOL144W	YOL144W	XV
YOL143C	YOL143C	XV
YOL142W	YOL142W	XV
YOL141W	YOL141W	XV
YOL140W	YOL140W	XV
YOL139C	YOL139C	XV
YOL138C	YOL138C	XV
YOL137W	YOL137W	XV
YOL136C	YOL136C	XV
YOL135C	YOL135C	XV
YOL134C	YOL134C	XV
YOL133W	YOL133W	XV
YOL132W	YOL132W	XV
YOL131W	YOL131W	XV
YOL130W	YOL130W	XV
YOL129W	YOL129W	XV
YOL128C	YOL128C	XV
YOL127W	YOL127W	XV
YOL126C	YOL126C	XV
YOL125W	YOL125W	XV
YOL124C	YOL124C	XV
YOL123W	YOL123W	XV
YOL122C	YOL122C	XV
YOL121C	YOL121C	XV
YOL120C	YOL120C	XV
YOL119C	YOL119C	XV
YOL118C	YOL118C	XV
YOL117W	YOL117W	XV
YOL116W	YOL116W	XV
YOL115W	YOL115W	XV
