hgnc_symbol	ensembl_gene_id	chromosome_name	origsymbol
ABHD3	ABHD3	ENSG00000158201	18	ABHD3
ABHD4	ABHD4	ENSG00000100439	14	ABHD4
ABHD5	ABHD5	ENSG00000011198	3	ABHD5
ABHD6	ABHD6	ENSG00000163686	3	ABHD6
ABHD8	ABHD8	ENSG00000127220	19	ABHD8
ABI1	ABI1	ENSG00000136754	10	ABI1
ABI2	ABI2	ENSG00000138443	2	ABI2
ABI3	ABI3	ENSG00000108798	17	ABI3
ABI3BP	ABI3BP	ENSG00000154175	3	ABI3BP
ABL1	ABL1	ENSG00000097007	9	ABL1
ABL2	ABL2	ENSG00000143322	1	ABL2
ABLIM1	ABLIM1	ENSG00000099204	10	ABLIM1
ABLIM2	ABLIM2	ENSG00000163995	4	ABLIM2
ABLIM3	ABLIM3	ENSG00000173210	5	ABLIM3
ABR	ABR	ENSG00000278741	CHR_HSCHR17_3_CTG2	ABR
ABRACL	ABRACL	ENSG00000146386	6	ABRACL
ABT1	ABT1	ENSG00000146109	6	ABT1
ABT1P1	ABT1P1	ENSG00000250496	4	ABT1P1
ABTB1	ABTB1	ENSG00000114626	3	ABTB1
ABTB2	ABTB2	ENSG00000166016	11	ABTB2
AC000032.2	NA	NA	NA	AC000032.2
AC000036.4	NA	NA	NA	AC000036.4
AC000068.10	NA	NA	NA	AC000068.10
AC000068.5	NA	NA	NA	AC000068.5
AC000068.9	NA	NA	NA	AC000068.9
AC000078.5	NA	NA	NA	AC000078.5
AC000081.2	NA	NA	NA	AC000081.2
AC000089.3	NA	NA	NA	AC000089.3
AC000095.9	NA	NA	NA	AC000095.9
AC000120.7	NA	NA	NA	AC000120.7
AC000123.2	NA	NA	NA	AC000123.2
AC000123.3	NA	NA	NA	AC000123.3
AC000362.1	NA	NA	NA	AC000362.1
AC000370.2	NA	NA	NA	AC000370.2
AC000403.4	NA	NA	NA	AC000403.4
AC001226.7	NA	NA	NA	AC001226.7
AC002044.1	NA	NA	NA	AC002044.1
AC002044.3	NA	NA	NA	AC002044.3
AC002044.4	NA	NA	NA	AC002044.4
AC002056.3	NA	NA	NA	AC002056.3
AC002059.10	NA	NA	NA	AC002059.10
AC002064.5	NA	NA	NA	AC002064.5
AC002064.7	NA	NA	NA	AC002064.7
AC002069.5	NA	NA	NA	AC002069.5
AC002075.3	NA	NA	NA	AC002075.3
AC002075.4	NA	NA	NA	AC002075.4
AC002076.10	NA	NA	NA	AC002076.10
AC002115.9	NA	NA	NA	AC002115.9
AC002116.7	NA	NA	NA	AC002116.7
AC002117.1	NA	NA	NA	AC002117.1
AC002306.1	NA	NA	NA	AC002306.1
AC002310.10	NA	NA	NA	AC002310.10
AC002310.12	NA	NA	NA	AC002310.12
AC002310.13	NA	NA	NA	AC002310.13
AC002310.14	NA	NA	NA	AC002310.14
AC002310.17	NA	NA	NA	AC002310.17
AC002310.7	NA	NA	NA	AC002310.7
AC002314.4	NA	NA	NA	AC002314.4
AC002331.1	NA	NA	NA	AC002331.1
AC002395.1	NA	NA	NA	AC002395.1
AC002398.11	NA	NA	NA	AC002398.11
AC002398.12	NA	NA	NA	AC002398.12
AC002398.13	NA	NA	NA	AC002398.13
AC002401.1	NA	NA	NA	AC002401.1
AC002454.1	NA	NA	NA	AC002454.1
AC002467.7	NA	NA	NA	AC002467.7
AC002480.5	NA	NA	NA	AC002480.5
AC002486.2	NA	NA	NA	AC002486.2
AC002519.6	NA	NA	NA	AC002519.6
AC002519.8	NA	NA	NA	AC002519.8
AC002523.1	NA	NA	NA	AC002523.1
AC002539.2	NA	NA	NA	AC002539.2
AC002543.2	NA	NA	NA	AC002543.2
AC002550.5	NA	NA	NA	AC002550.5
AC002550.6	NA	NA	NA	AC002550.6
AC002551.1	NA	NA	NA	AC002551.1
AC002553.4	NA	NA	NA	AC002553.4
AC002558.1	NA	NA	NA	AC002558.1
AC002979.1	NA	NA	NA	AC002979.1
AC003002.6	NA	NA	NA	AC003002.6
AC003005.2	NA	NA	NA	AC003005.2
AC003006.1	NA	NA	NA	AC003006.1
AC003006.7	NA	NA	NA	AC003006.7
AC003009.2	NA	NA	NA	AC003009.2
AC003045.1	NA	NA	NA	AC003045.1
AC003080.4	NA	NA	NA	AC003080.4
AC003090.1	NA	NA	NA	AC003090.1
AC003092.1	NA	NA	NA	AC003092.1
AC003092.2	NA	NA	NA	AC003092.2
AC003101.1	NA	NA	NA	AC003101.1
AC003102.3	NA	NA	NA	AC003102.3
AC003104.1	NA	NA	NA	AC003104.1
AC003665.1	NA	NA	NA	AC003665.1
AC003682.16	NA	NA	NA	AC003682.16
AC003956.1	NA	NA	NA	AC003956.1
AC003958.2	NA	NA	NA	AC003958.2
AC003973.4	NA	NA	NA	AC003973.4
AC003991.3	NA	NA	NA	AC003991.3
AC004000.1	NA	NA	NA	AC004000.1
AC004006.2	NA	NA	NA	AC004006.2
AC004009.1	NA	NA	NA	AC004009.1
AC004009.2	NA	NA	NA	AC004009.2
AC004014.4	NA	NA	NA	AC004014.4
AC004019.10	NA	NA	NA	AC004019.10
AC004019.13	NA	NA	NA	AC004019.13
AC004022.7	NA	NA	NA	AC004022.7
AC004041.2	NA	NA	NA	AC004041.2
AC004053.1	NA	NA	NA	AC004053.1
AC004057.1	NA	NA	NA	AC004057.1
AC004067.5	NA	NA	NA	AC004067.5
AC004069.1	NA	NA	NA	AC004069.1
AC004069.2	NA	NA	NA	AC004069.2
AC004074.4	NA	NA	NA	AC004074.4
AC004076.5	NA	NA	NA	AC004076.5
AC004076.7	NA	NA	NA	AC004076.7
AC004076.9	NA	NA	NA	AC004076.9
AC004112.4	NA	NA	NA	AC004112.4
AC004112.7	NA	NA	NA	AC004112.7
AC004129.9	NA	NA	NA	AC004129.9
AC004156.3	NA	NA	NA	AC004156.3
AC004158.2	NA	NA	NA	AC004158.2
AC004158.3	NA	NA	NA	AC004158.3
AC004159.1	NA	NA	NA	AC004159.1
AC004166.6	NA	NA	NA	AC004166.6
AC004221.2	NA	NA	NA	AC004221.2
AC004231.2	NA	NA	NA	AC004231.2
AC004237.1	NA	NA	NA	AC004237.1
AC004257.1	NA	NA	NA	AC004257.1
AC004381.6	NA	NA	NA	AC004381.6
AC004383.3	NA	NA	NA	AC004383.3
AC004386.3	NA	NA	NA	AC004386.3
AC004386.4	NA	NA	NA	AC004386.4
AC004447.2	NA	NA	NA	AC004447.2
AC004449.6	NA	NA	NA	AC004449.6
AC004453.8	NA	NA	NA	AC004453.8
AC004461.4	NA	NA	NA	AC004461.4
AC004471.10	NA	NA	NA	AC004471.10
AC004490.1	NA	NA	NA	AC004490.1
AC004510.3	NA	NA	NA	AC004510.3
AC004535.2	NA	NA	NA	AC004535.2
AC004538.3	NA	NA	NA	AC004538.3
AC004540.4	NA	NA	NA	AC004540.4
AC004540.5	NA	NA	NA	AC004540.5
AC004543.2	NA	NA	NA	AC004543.2
AC004549.6	NA	NA	NA	AC004549.6
AC004593.3	NA	NA	NA	AC004593.3
AC004595.1	NA	NA	NA	AC004595.1
AC004623.2	NA	NA	NA	AC004623.2
AC004623.3	NA	NA	NA	AC004623.3
AC004692.5	NA	NA	NA	AC004692.5
AC004791.2	NA	NA	NA	AC004791.2
AC004812.1	NA	NA	NA	AC004812.1
AC004813.1	NA	NA	NA	AC004813.1
AC004832.1	NA	NA	NA	AC004832.1
AC004837.1	NA	NA	NA	AC004837.1
AC004837.5	NA	NA	NA	AC004837.5
AC004840.8	NA	NA	NA	AC004840.8
AC004840.9	NA	NA	NA	AC004840.9
AC004851.1	NA	NA	NA	AC004851.1
AC004854.4	NA	NA	NA	AC004854.4
AC004854.5	NA	NA	NA	AC004854.5
AC004870.4	NA	NA	NA	AC004870.4
AC004878.8	NA	NA	NA	AC004878.8
AC004893.11	NA	NA	NA	AC004893.11
AC004895.4	NA	NA	NA	AC004895.4
AC004906.3	NA	NA	NA	AC004906.3
AC004920.2	NA	NA	NA	AC004920.2
AC004938.5	NA	NA	NA	AC004938.5
AC004941.3	NA	NA	NA	AC004941.3
AC004941.5	NA	NA	NA	AC004941.5
AC004951.5	NA	NA	NA	AC004951.5
AC004951.6	NA	NA	NA	AC004951.6
AC004967.7	NA	NA	NA	AC004967.7
AC004980.10	NA	NA	NA	AC004980.10
AC004980.11	NA	NA	NA	AC004980.11
AC004980.7	NA	NA	NA	AC004980.7
AC004980.8	NA	NA	NA	AC004980.8
AC004980.9	NA	NA	NA	AC004980.9
AC004987.9	NA	NA	NA	AC004987.9
AC004988.1	NA	NA	NA	AC004988.1
AC005007.3	NA	NA	NA	AC005007.3
AC005009.1	NA	NA	NA	AC005009.1
AC005009.2	NA	NA	NA	AC005009.2
AC005014.5	NA	NA	NA	AC005014.5
AC005017.2	NA	NA	NA	AC005017.2
AC005019.2	NA	NA	NA	AC005019.2
AC005019.3	NA	NA	NA	AC005019.3
AC005027.3	NA	NA	NA	AC005027.3
AC005037.2	NA	NA	NA	AC005037.2
AC005037.3	NA	NA	NA	AC005037.3
AC005037.4	NA	NA	NA	AC005037.4
AC005042.2	NA	NA	NA	AC005042.2
AC005042.4	NA	NA	NA	AC005042.4
AC005062.2	NA	NA	NA	AC005062.2
AC005071.1	NA	NA	NA	AC005071.1
AC005076.5	NA	NA	NA	AC005076.5
AC005077.12	NA	NA	NA	AC005077.12
AC005077.14	NA	NA	NA	AC005077.14
AC005077.7	NA	NA	NA	AC005077.7
AC005077.8	NA	NA	NA	AC005077.8
AC005082.12	NA	NA	NA	AC005082.12
AC005086.3	NA	NA	NA	AC005086.3
AC005094.2	NA	NA	NA	AC005094.2
AC005102.1	NA	NA	NA	AC005102.1
AC005104.3	NA	NA	NA	AC005104.3
AC005150.1	NA	NA	NA	AC005150.1
AC005152.3	NA	NA	NA	AC005152.3
AC005154.6	NA	NA	NA	AC005154.6
AC005154.7	NA	NA	NA	AC005154.7
AC005154.8	NA	NA	NA	AC005154.8
AC005160.3	NA	NA	NA	AC005160.3
AC005162.4	NA	NA	NA	AC005162.4
AC005176.2	NA	NA	NA	AC005176.2
AC005176.3	NA	NA	NA	AC005176.3
AC005189.6	NA	NA	NA	AC005189.6
AC005197.2	NA	NA	NA	AC005197.2
AC005220.3	NA	NA	NA	AC005220.3
AC005224.2	NA	NA	NA	AC005224.2
AC005229.1	NA	NA	NA	AC005229.1
AC005229.5	NA	NA	NA	AC005229.5
AC005229.7	NA	NA	NA	AC005229.7
AC005237.4	NA	NA	NA	AC005237.4
AC005253.2	NA	NA	NA	AC005253.2
AC005253.4	NA	NA	NA	AC005253.4
AC005255.3	NA	NA	NA	AC005255.3
AC005256.1	NA	NA	NA	AC005256.1
AC005262.2	NA	NA	NA	AC005262.2
AC005262.3	NA	NA	NA	AC005262.3
AC005262.4	NA	NA	NA	AC005262.4
AC005264.2	NA	NA	NA	AC005264.2
AC005300.5	NA	NA	NA	AC005300.5
AC005304.1	NA	NA	NA	AC005304.1
AC005306.3	NA	NA	NA	AC005306.3
AC005307.1	NA	NA	NA	AC005307.1
AC005307.3	NA	NA	NA	AC005307.3
AC005329.7	NA	NA	NA	AC005329.7
AC005336.4	NA	NA	NA	AC005336.4
AC005336.5	NA	NA	NA	AC005336.5
AC005339.2	NA	NA	NA	AC005339.2
AC005351.1	NA	NA	NA	AC005351.1
AC005355.2	NA	NA	NA	AC005355.2
AC005355.3	NA	NA	NA	AC005355.3
AC005356.1	NA	NA	NA	AC005356.1
AC005363.11	NA	NA	NA	AC005363.11
AC005394.1	NA	NA	NA	AC005394.1
AC005477.1	NA	NA	NA	AC005477.1
AC005480.1	NA	NA	NA	AC005480.1
AC005481.5	NA	NA	NA	AC005481.5
AC005487.2	NA	NA	NA	AC005487.2
AC005488.11	NA	NA	NA	AC005488.11
AC005498.4	NA	NA	NA	AC005498.4
AC005517.3	NA	NA	NA	AC005517.3
AC005519.4	NA	NA	NA	AC005519.4
AC005522.6	NA	NA	NA	AC005522.6
AC005522.7	NA	NA	NA	AC005522.7
AC005523.2	NA	NA	NA	AC005523.2
AC005523.3	NA	NA	NA	AC005523.3
AC005532.5	NA	NA	NA	AC005532.5
AC005534.6	NA	NA	NA	AC005534.6
AC005534.8	NA	NA	NA	AC005534.8
AC005537.2	NA	NA	NA	AC005537.2
AC005538.1	NA	NA	NA	AC005538.1
AC005539.2	NA	NA	NA	AC005539.2
AC005540.3	NA	NA	NA	AC005540.3
AC005546.2	NA	NA	NA	AC005546.2
AC005549.2	NA	NA	NA	AC005549.2
AC005562.1	NA	NA	NA	AC005562.1
AC005578.3	NA	NA	NA	AC005578.3
AC005592.1	NA	NA	NA	AC005592.1
AC005592.2	NA	NA	NA	AC005592.2
AC005592.3	NA	NA	NA	AC005592.3
AC005593.2	NA	NA	NA	AC005593.2
AC005606.14	NA	NA	NA	AC005606.14
AC005606.15	NA	NA	NA	AC005606.15
AC005614.3	NA	NA	NA	AC005614.3
AC005614.5	NA	NA	NA	AC005614.5
AC005616.1	NA	NA	NA	AC005616.1
AC005616.2	NA	NA	NA	AC005616.2
AC005618.6	NA	NA	NA	AC005618.6
AC005621.1	NA	NA	NA	AC005621.1
AC005624.2	NA	NA	NA	AC005624.2
AC005631.1	NA	NA	NA	AC005631.1
AC005682.5	NA	NA	NA	AC005682.5
AC005682.6	NA	NA	NA	AC005682.6
AC005682.7	NA	NA	NA	AC005682.7
AC005702.1	NA	NA	NA	AC005702.1
AC005702.3	NA	NA	NA	AC005702.3
AC005703.2	NA	NA	NA	AC005703.2
AC005703.3	NA	NA	NA	AC005703.3
AC005730.2	NA	NA	NA	AC005730.2
AC005740.3	NA	NA	NA	AC005740.3
AC005740.4	NA	NA	NA	AC005740.4
AC005740.5	NA	NA	NA	AC005740.5
AC005740.6	NA	NA	NA	AC005740.6
AC005752.10	NA	NA	NA	AC005752.10
AC005754.8	NA	NA	NA	AC005754.8
AC005757.6	NA	NA	NA	AC005757.6
AC005758.1	NA	NA	NA	AC005758.1
AC005772.2	NA	NA	NA	AC005772.2
AC005775.2	NA	NA	NA	AC005775.2
AC005776.1	NA	NA	NA	AC005776.1
AC005779.2	NA	NA	NA	AC005779.2
AC005783.1	NA	NA	NA	AC005783.1
AC005785.2	NA	NA	NA	AC005785.2
AC005785.5	NA	NA	NA	AC005785.5
AC005786.3	NA	NA	NA	AC005786.3
AC005786.5	NA	NA	NA	AC005786.5
AC005786.6	NA	NA	NA	AC005786.6
AC005786.7	NA	NA	NA	AC005786.7
AC005789.11	NA	NA	NA	AC005789.11
AC005795.1	NA	NA	NA	AC005795.1
AC005822.1	NA	NA	NA	AC005822.1
AC005863.2	NA	NA	NA	AC005863.2
AC005884.1	NA	NA	NA	AC005884.1
AC005943.6	NA	NA	NA	AC005943.6
AC005944.2	NA	NA	NA	AC005944.2
AC005954.3	NA	NA	NA	AC005954.3
AC005954.4	NA	NA	NA	AC005954.4
AC006004.1	NA	NA	NA	AC006004.1
AC006026.10	NA	NA	NA	AC006026.10
AC006026.13	NA	NA	NA	AC006026.13
AC006026.9	NA	NA	NA	AC006026.9
AC006028.11	NA	NA	NA	AC006028.11
AC006033.22	NA	NA	NA	AC006033.22
AC006037.2	NA	NA	NA	AC006037.2
AC006041.1	NA	NA	NA	AC006041.1
AC006042.6	NA	NA	NA	AC006042.6
AC006042.7	NA	NA	NA	AC006042.7
AC006042.8	NA	NA	NA	AC006042.8
AC006050.2	NA	NA	NA	AC006050.2
AC006077.3	NA	NA	NA	AC006077.3
AC006077.4	NA	NA	NA	AC006077.4
AC006115.3	NA	NA	NA	AC006115.3
AC006116.1	NA	NA	NA	AC006116.1
AC006116.13	NA	NA	NA	AC006116.13
AC006116.15	NA	NA	NA	AC006116.15
AC006116.17	NA	NA	NA	AC006116.17
AC006116.19	NA	NA	NA	AC006116.19
AC006116.20	NA	NA	NA	AC006116.20
AC006128.2	NA	NA	NA	AC006128.2
AC006129.1	NA	NA	NA	AC006129.1
AC006129.2	NA	NA	NA	AC006129.2
AC006130.3	NA	NA	NA	AC006130.3
AC006130.4	NA	NA	NA	AC006130.4
AC006133.3	NA	NA	NA	AC006133.3
AC006160.5	NA	NA	NA	AC006160.5
AC006195.2	NA	NA	NA	AC006195.2
AC006277.2	NA	NA	NA	AC006277.2
AC006277.3	NA	NA	NA	AC006277.3
AC006296.1	NA	NA	NA	AC006296.1
AC006326.3	NA	NA	NA	AC006326.3
AC006355.3	NA	NA	NA	AC006355.3
AC006369.2	NA	NA	NA	AC006369.2
AC006372.4	NA	NA	NA	AC006372.4
AC006372.5	NA	NA	NA	AC006372.5
AC006372.6	NA	NA	NA	AC006372.6
AC006378.2	NA	NA	NA	AC006378.2
AC006445.6	NA	NA	NA	AC006445.6
AC006445.7	NA	NA	NA	AC006445.7
AC006449.2	NA	NA	NA	AC006449.2
AC006460.2	NA	NA	NA	AC006460.2
AC006461.2	NA	NA	NA	AC006461.2
AC006480.1	NA	NA	NA	AC006480.1
AC006486.10	NA	NA	NA	AC006486.10
AC006499.2	NA	NA	NA	AC006499.2
AC006509.4	NA	NA	NA	AC006509.4
AC006509.7	NA	NA	NA	AC006509.7
AC006534.3	NA	NA	NA	AC006534.3
AC006538.1	NA	NA	NA	AC006538.1
AC006538.8	NA	NA	NA	AC006538.8
AC006539.1	NA	NA	NA	AC006539.1
AC006539.2	NA	NA	NA	AC006539.2
AC006539.6	NA	NA	NA	AC006539.6
AC006547.13	NA	NA	NA	AC006547.13
AC006547.15	NA	NA	NA	AC006547.15
AC006547.8	NA	NA	NA	AC006547.8
AC006548.28	NA	NA	NA	AC006548.28
AC006557.1	NA	NA	NA	AC006557.1
AC006840.1	NA	NA	NA	AC006840.1
AC006925.1	NA	NA	NA	AC006925.1
AC006926.1	NA	NA	NA	AC006926.1
AC006942.4	NA	NA	NA	AC006942.4
AC006946.12	NA	NA	NA	AC006946.12
AC006946.15	NA	NA	NA	AC006946.15
AC006946.16	NA	NA	NA	AC006946.16
AC006946.17	NA	NA	NA	AC006946.17
AC006947.1	NA	NA	NA	AC006947.1
AC006960.5	NA	NA	NA	AC006960.5
AC006988.1	NA	NA	NA	AC006988.1
AC006989.2	NA	NA	NA	AC006989.2
AC006994.1	NA	NA	NA	AC006994.1
AC006994.2	NA	NA	NA	AC006994.2
AC006995.8	NA	NA	NA	AC006995.8
AC007000.10	NA	NA	NA	AC007000.10
AC007000.11	NA	NA	NA	AC007000.11
AC007000.12	NA	NA	NA	AC007000.12
AC007005.1	NA	NA	NA	AC007005.1
AC007016.3	NA	NA	NA	AC007016.3
AC007036.4	NA	NA	NA	AC007036.4
AC007036.6	NA	NA	NA	AC007036.6
AC007038.7	NA	NA	NA	AC007038.7
AC007040.11	NA	NA	NA	AC007040.11
AC007040.6	NA	NA	NA	AC007040.6
AC007040.8	NA	NA	NA	AC007040.8
AC007041.2	NA	NA	NA	AC007041.2
AC007050.18	NA	NA	NA	AC007050.18
AC007056.1	NA	NA	NA	AC007056.1
AC007064.22	NA	NA	NA	AC007064.22
AC007098.1	NA	NA	NA	AC007098.1
AC007099.1	NA	NA	NA	AC007099.1
AC007106.1	NA	NA	NA	AC007106.1
AC007115.3	NA	NA	NA	AC007115.3
AC007126.1	NA	NA	NA	AC007126.1
AC007131.1	NA	NA	NA	AC007131.1
AC007131.2	NA	NA	NA	AC007131.2
AC007136.1	NA	NA	NA	AC007136.1
AC007161.5	NA	NA	NA	AC007161.5
AC007163.3	NA	NA	NA	AC007163.3
AC007163.6	NA	NA	NA	AC007163.6
AC007163.9	NA	NA	NA	AC007163.9
AC007179.1	NA	NA	NA	AC007179.1
AC007191.4	NA	NA	NA	AC007191.4
AC007192.6	NA	NA	NA	AC007192.6
AC007193.8	NA	NA	NA	AC007193.8
AC007193.9	NA	NA	NA	AC007193.9
AC007228.8	NA	NA	NA	AC007228.8
AC007228.9	NA	NA	NA	AC007228.9
AC007229.3	NA	NA	NA	AC007229.3
AC007237.2	NA	NA	NA	AC007237.2
AC007238.1	NA	NA	NA	AC007238.1
AC007246.3	NA	NA	NA	AC007246.3
AC007249.3	NA	NA	NA	AC007249.3
AC007251.2	NA	NA	NA	AC007251.2
AC007253.1	NA	NA	NA	AC007253.1
AC007255.8	NA	NA	NA	AC007255.8
AC007256.5	NA	NA	NA	AC007256.5
AC007272.3	NA	NA	NA	AC007272.3
AC007277.3	NA	NA	NA	AC007277.3
AC007279.2	NA	NA	NA	AC007279.2
AC007283.4	NA	NA	NA	AC007283.4
AC007285.6	NA	NA	NA	AC007285.6
AC007285.7	NA	NA	NA	AC007285.7
AC007292.3	NA	NA	NA	AC007292.3
AC007292.4	NA	NA	NA	AC007292.4
AC007292.6	NA	NA	NA	AC007292.6
AC007292.7	NA	NA	NA	AC007292.7
AC007308.6	NA	NA	NA	AC007308.6
AC007308.7	NA	NA	NA	AC007308.7
AC007318.5	NA	NA	NA	AC007318.5
AC007319.1	NA	NA	NA	AC007319.1
AC007349.5	NA	NA	NA	AC007349.5
